locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	locustag_in_Nmen	GN_in_Nmen	locustag_in_FA1090	GN_in_FA1090
NGFG_01012		gene	DNA-binding protein HU-beta	NMB1230		NGO_0777	
NGFG_01011		gene	hypothetical protein	NMB1229		NGO_0778	
NGFG_01010		gene	homoserine dehydrogenase	NMB1228		NGO_0779	
NGFG_01009		gene	hypothetical protein	NMB1227		NGO_0780	
NGFG_01008		gene	ABC transporter ATP-binding protein	NMB1226		NGO_0781	
NGFG_01006		gene	hypothetical protein	NMB1225		NGO_0783	
NGFG_01005		gene	hypothetical protein				
NGFG_01004		gene	TraD protein				
NGFG_01003		gene	conjugative coupling factor TraD%2C PFGI-1 class				
NGFG_01002	traI	gene	conjugal transfer pilus assembly protein TraI				
NGFG_01001		gene	hypothetical protein				
NGFG_01000		gene	LtgX protein				
NGFG_00999		gene	hypothetical protein				
NGFG_00998	traA	gene	conjugal transfer pilus assembly protein TraA				
NGFG_00997	traL	gene	type IV conjugative transfer system protein TraL				
NGFG_00996	traE	gene	type IV conjugative transfer system protein TraE				
NGFG_00995	traK	gene	type-F conjugative transfer system secretin TraK				
NGFG_00994	traB	gene	conjugal transfer pilus assembly protein TraB				
NGFG_00993	dsbC	gene	thiol:disulfide interchange protein DsbC				
NGFG_00992	traV	gene	type IV conjugative transfer system protein TraV				
NGFG_00991	traC	gene	type-IV secretion system protein TraC				
NGFG_00990		gene	hypothetical protein				
NGFG_00989	trbI	gene	conjugal transfer pilin signal peptidase TrbI				
NGFG_00988	traW	gene	type-F conjugative transfer system protein TraW				
NGFG_00987	traU	gene	conjugal transfer pilus assembly protein TraU				
NGFG_00986	trbC	gene	type-F conjugative transfer system pilin assembly protein TrbC				
NGFG_00985		gene	hypothetical protein				
NGFG_00984	traN	gene	conjugal transfer mating pair stabilization protein TraN				
NGFG_00983		gene	hypothetical protein				
NGFG_00982	traF	gene	conjugal transfer pilus assembly protein TraF				
NGFG_00981	traH	gene	conjugative transfer pilus assembly protein TraH				
NGFG_00980	traG	gene	conjugal transfer mating pair stabilization protein TraG				
NGFG_00979		gene	hypothetical protein				
NGFG_00978		gene	hypothetical protein				
NGFG_00976		gene	CspA protein				
NGFG_00975		gene	hypothetical protein				
NGFG_00974		gene	hypothetical protein				
NGFG_00973		gene	hypothetical protein				
NGFG_00972		gene	hypothetical protein				
NGFG_00971		gene	hypothetical protein				
NGFG_00970		gene	hypothetical protein				
NGFG_00969		gene	hypothetical protein				
NGFG_02317		gene	hypothetical protein				
NGFG_00968		gene	hypothetical protein				
NGFG_00967		gene	hypothetical protein				
NGFG_00966		gene	hypothetical protein				
NGFG_00964		gene	hypothetical protein				
NGFG_02318		gene	hypothetical protein				
NGFG_02319		gene	hypothetical protein				
NGFG_00963		gene	hypothetical protein				
NGFG_00962		gene	hypothetical protein				
NGFG_00961		gene	acetyltransferase				
NGFG_00960		gene	hypothetical protein				
NGFG_02320		gene	hypothetical protein				
NGFG_02209		gene	hypothetical protein				
NGFG_02321		gene	hypothetical protein				
NGFG_00959		gene	hypothetical protein				
NGFG_00958		gene	hypothetical protein				
NGFG_00956		gene	hypothetical protein				
NGFG_00955		gene	hypothetical protein				
NGFG_00954		gene	hypothetical protein				
NGFG_00953		gene	DNA topoisomerase III				
NGFG_00952		gene	single-strand DNA-binding protein				
NGFG_00950		gene	integrating conjugative element protein				
NGFG_00949		gene	hypothetical protein				
NGFG_00948		gene	hypothetical protein				
NGFG_00947		gene	hypothetical protein				
NGFG_00946		gene	chromosome partitioning protein ParB family protein				
NGFG_00945		gene	hypothetical protein				
NGFG_00943		gene	uracil-DNA glycosylase	NMB1222	ung	NGO_0786	ung
NGFG_00942		gene	hypothetical protein	NMB1221		NGO_0787	
NGFG_00941		gene	outer membrane protein	NMB1220		NGO_0788	
NGFG_00940		gene	hypothetical protein	NMB1219		NGO_0789	
NGFG_00938		gene	UPF0250 protein	NMB1218		NGO_0791	
NGFG_00937		gene	octanoyltransferase	NMB1217	lipB	NGO_0792	lipB
NGFG_00936		gene	lipoyl synthase	NMB1216	lipA	NGO_0793	lipA
NGFG_00934		gene	bacterioferritin A	NMB1207	bfr	NGO_0794	bfr
NGFG_00933		gene	bacterioferritin B	NMB1206	bfr	NGO_0795	bfr
NGFG_00932		gene	transcriptional regulator	NMB1204		NGO_0797	
NGFG_00931		gene	[protein-PII] uridylyltransferase	NMB1203	glnD	NGO_0798	glnD
NGFG_00930		gene	inosine-5'-monophosphate dehydrogenase	NMB1201	guaB	NGO_0799	guaB
NGFG_00928		gene	ribonuclease R	NMB1200	rnr	NGO_0801	rnr
NGFG_00926		gene	GTP-binding protein TypA/BipA	NMB1199	typA	NGO_0803	typA
NGFG_00925		gene	carbohydrate kinase	NMB1159		NGO_0804	
NGFG_00924		gene	nickel-dependent hydrogenase%2C b-type cytochrome subunit	NMB1158		NGO_0805	
NGFG_00923		gene	siroheme synthase			NGO_0806	
NGFG_00922		gene	sulfite reductase [NADPH] flavoprotein alpha-component				
NGFG_00921		gene	sulfite reductase [NADPH] flavoprotein alpha-component	NMB1152		NGO_04265	
NGFG_00920		gene	sulfite reductase [NADPH] hemoprotein beta-component				
NGFG_00919		gene	sulfite reductase [NADPH] hemoprotein beta-component	NMB1151	cysI	NGO_04270	cysI
NGFG_00918		gene	dihydroxy-acid dehydratase	NMB1150	ilvD	NGO_0809	ilvD
NGFG_02322		gene	hypothetical protein	NMB1147			
NGFG_00914		gene	biotin synthase	NMB1146	bioB	NGO_0813	bioB
NGFG_00913		gene	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	NMB1145	mpl	NGO_0815	mpl
NGFG_00912		gene	hypothetical protein	NMB1144		NGO_0816	
NGFG_00911		gene	hypothetical protein	NMB1143		NGO_04310	
NGFG_00910		gene	hypothetical protein			NGO_0818	
NGFG_00909		gene	TrmH family RNA methyltransferase	NMB1141		NGO_0819	
NGFG_00908		gene	tRNA(Ile)-lysidine synthase	NMB1140	tilS	NGO_0820	tilS
NGFG_00907		gene	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	NMB1139		NGO_0821	
NGFG_00906		gene	hsp15-like protein	NMB1138		NGO_0822	
NGFG_00905	iscX	gene	FeS assembly protein IscX	NMB1137	iscX	NGO_0823	iscX
NGFG_00903		gene	hypothetical protein	NMB1135a			
NGFG_00901		gene	ferredoxin%2C 2Fe-2S type%2C ISC system protein	NMB1134	fdx	NGO_0825	fdx
NGFG_00900		gene	hypothetical protein	NMB1133		NGO_0826	
NGFG_00899		gene	hypothetical protein	NMB1132		NGO_0827	
NGFG_00898	hscA	gene	Fe-S protein assembly chaperone HscA	NMB1131	hscA	NGO_0829	hscA
NGFG_00897	hpnD	gene	squalene synthase HpnD	NMB1130	hpnD	NGO_0830	hpnD
NGFG_00896		gene	oxidoreductase	NMB1128		NGO_0831	
NGFG_00895		gene	short chain dehydrogenase	NMB1127		NGO_0832	
NGFG_00894		gene	lipoprotein	NMB1126		NGO_0834	
NGFG_00893		gene	hypothetical protein	NMB1125		NGO_04400	
NGFG_00892		gene	lipoprotein	NMB1124		NGO_0835	
NGFG_00889	hda	gene	DnaA regulatory inactivator Hda	NMB1076	hda	NGO_0841	hda
NGFG_00888		gene	HAD hydrolase%2C family IB	NMB1075		NGO_0842	
NGFG_02323		gene	ubiquitin-activating enzyme E1 family protein				
NGFG_00886		gene	acetylglutamate kinase	NMB1074	argB	NGO_0844	argB
NGFG_00884		gene	zinc carboxypeptidase	NMB1073		NGO_0845	
NGFG_00883		gene	prolipoprotein diacylglyceryl transferase	NMB1072		NGO_0846	
NGFG_00882		gene	yecA family protein	NMB1071		NGO_0847	
NGFG_00881		gene	2-isopropylmalate synthase	NMB1070		NGO_0848	
NGFG_00880		gene	glutamate 5-kinase	NMB1069	proB	NGO_04475	proB
NGFG_00879		gene	gamma-glutamyl phosphate reductase	NMB1068		NGO_0850	
NGFG_00878		gene	DNA translocase ftsK 2	NMB1067	ftsK	NGO_0851	ftsK
NGFG_00877		gene	hypothetical protein	NMB1066		NGO_0852	
NGFG_00876	crcB	gene	protein CrcB	NMB1065	crcB	NGO_0853	
NGFG_00874		gene	ADP-ribose pyrophosphatase	NMB1064		NGO_04510	
NGFG_00873		gene	dihydroneopterin aldolase	NMB1063	folB	NGO_0857	folB
NGFG_00872		gene	glycerol-3-phosphate acyltransferase	NMB1062	plsY	NGO_0858	plsY
NGFG_00871		gene	hypothetical protein	NMB1061	rlmJ	NGO_0859	rlmJ
NGFG_00870		gene	hypothetical protein			NGO_04530	
NGFG_00869		gene	hypothetical protein			NGO_0861	
NGFG_00868		gene	fructose-1%2C6-bisphosphatase class 1	NMB1060		NGO_0862	
NGFG_00867		gene	hypothetical protein	NMB1059		NGO_0863	
NGFG_00866		gene	glutaredoxin-like protein	NMB1058	grxD		
NGFG_00864		gene	hypothetical protein			NGO_0865	
NGFG_00863		gene	serine hydroxymethyltransferase	NMB1055		NGO_0866	
NGFG_00862		gene	hypothetical protein			NGO_0867	
NGFG_00859		gene	dedA family membrane protein	NMB1052		NGO_0869	
NGFG_00858		gene	ABC transporter ATP-binding protein	NMB1051		NGO_0870	
NGFG_00857		gene	hypothetical protein			NGO_0871	
NGFG_00856		gene	anthranilate synthase component 1	NMB1021		NGO_0872	
NGFG_00855		gene	modification methylase NgoMIV			NGO_0873	
NGFG_00854		gene	type-2 restriction enzyme NgoMIV			NGO_0874	
NGFG_00853		gene	phosphoribosylaminoimidazole carboxylase%2C ATPase subunit	NMB1019		NGO_0875	
NGFG_00852		gene	acetyltransferase	NMB1018		NGO_0876	
NGFG_00851		gene	sulfate ABC transporter%2C sulfate-binding protein	NMB1017		NGO_04615	
NGFG_00848		gene	hypothetical protein	NMB1016		NGO_0880	
NGFG_02324		gene	transposase				
NGFG_02325		gene	transposase	NMB1015		NGO_0881	
NGFG_02200		gene	hypothetical protein	NMB1752		NGO_04640	
NGFG_00847		gene	rubredoxin	NMB0993		NGO_0885	
NGFG_00845		gene	acyl-CoA dehydrogenase	NMB0994		NGO_0886	
NGFG_00844		gene	alkylhydroperoxidase	NMB0995		NGO_0887	
NGFG_00843		gene	hypothetical protein	NMB0996		NGO_0888	
NGFG_00841		gene	D-lactate dehydrogenase	NMB0997	dld	NGO_0890	dld
NGFG_00840		gene	hypothetical protein			NGO_0891	
NGFG_00839		gene	oxidoreductase	NMB0998		NGO_0893	
NGFG_00836		gene	hypothetical protein			NGO_0895	
NGFG_02326		gene	hypothetical protein				
NGFG_00831	greA	gene	transcription elongation factor greA	NMB1430	greA	NGO_0899	greA
NGFG_00829		gene	3-phosphoshikimate 1-carboxyvinyltransferase	NMB1432	aroA	NGO_0900	aroA
NGFG_00828		gene	lipoprotein	NMB1433		NGO_0901	
NGFG_00827		gene	phospholipase D-family protein	NMB1434		NGO_0902	
NGFG_00826		gene	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	NMB1435		NGO_0903	
NGFG_00825		gene	hypothetical protein	NMB1436		NGO_0904	
NGFG_00824		gene	hypothetical protein	NMB1437		NGO_0905	
NGFG_00823		gene	iron-sulfur cluster-binding protein	NMB1438		NGO_0906	
NGFG_00822		gene	toxin component of toxin-antitoxin system			NGO_0907	fitB
NGFG_00821		gene	antitoxin component of toxin-antitoxin system			NGO_0908	fitA
NGFG_02328		gene	hypothetical protein	NMB1752		NGO_04640	
NGFG_02329		gene	transposase			NGO_04785	
NGFG_00820		gene	succinyl-CoA ligase [ADP-forming] subunit alpha	NMB0960	sucD	NGO_0912	sucD
NGFG_00819		gene	succinyl-CoA ligase [ADP-forming] subunit beta	NMB0959	sucC	NGO_0913	sucC
NGFG_00818		gene	hypothetical protein	NMB0958		NGO_0914	
NGFG_00817		gene	dihydrolipoyl dehydrogenase	NMB0957	lpdA	NGO_0915	lpdA
NGFG_00816		gene	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	NMB0956	odhB	NGO_0916	odhB
NGFG_00815		gene	oxoglutarate dehydrogenase (succinyl-transferring)%2C E1 component	NMB0955		NGO_0917	
NGFG_00814		gene	citrate (Si)-synthase	NMB0954	gltA	NGO_0918	gltA
NGFG_00813		gene	hypothetical protein	NMB0952		NGO_0919	
NGFG_00812		gene	succinate dehydrogenase and fumarate reductase iron-sulfur protein	NMB0951		NGO_0920	
NGFG_00811		gene	succinate dehydrogenase%2C flavoprotein subunit	NMB0950	sdhA	NGO_0921	sdhA
NGFG_00810		gene	succinate dehydrogenase%2C hydrophobic membrane anchor protein	NMB0949	sdhD	NGO_0922	sdhD
NGFG_00809		gene	succinate dehydrogenase%2C cytochrome b556 subunit	NMB0948	sdhC	NGO_0923	sdhC
NGFG_00807		gene	dihydrolipoamide dehydrogenase	NMB0947		NGO_0925	
NGFG_00806		gene	peroxiredoxin	NMB0946		NGO_0926	
NGFG_00804		gene	5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase	NMB0944	metE	NGO_0928	metE
NGFG_00803		gene	5%2C10-methylenetetrahydrofolate reductase	NMB0943	metF	NGO_0929	metF
NGFG_00802		gene	50S ribosomal protein L31 type B	NMB0942		NGO_0930	
NGFG_00801		gene	50S ribosomal protein L36	NMB0941	rpmJ	NGO_0931	rpmJ
NGFG_00800		gene	hypothetical protein			NGO_04890	
NGFG_00799		gene	homoserine O-acetyltransferase	NMB0940		NGO_0933	
NGFG_00798	metW	gene	methionine biosynthesis protein MetW	NMB0939	metW	NGO_0934	metW
NGFG_00796		gene	elongation factor P	NMB0937	efp	NGO_0936	efp
NGFG_00795		gene	hypothetical protein	NMB0935a	earP	NGO_0937	earP
NGFG_00794		gene	hypothetical protein			NGO_0938	
NGFG_00792		gene	tRNA dimethylallyltransferase	NMB0935	miaA	NGO_0940	miaA
NGFG_00791		gene	cytosine deaminase	NMB0933		NGO_0941	
NGFG_00790		gene	hypothetical protein	NMB0932		NGO_0942	
NGFG_00789	rlmB	gene	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	NMB0931	rlmB	NGO_0942a	rlmB
NGFG_00787		gene	dihydrodipicolinate synthase	NMB0929		NGO_0947	
NGFG_00786		gene	lipoprotein	NMB0928	bamC	NGO_0948	bamC
NGFG_00785		gene	proline iminopeptidase	NMB0927	pip	NGO_0949	pip
NGFG_02330		gene	opacity protein	NMB1465		NGO_1277a	
NGFG_02331		gene	hypothetical protein				
NGFG_00782	hup	gene	heme-utilization protein Hup	NMB1497		NGO_0952	
NGFG_00780		gene	hypothetical protein			NGO_04995	
NGFG_00779		gene	aspartate kinase	NMB1498		NGO_0956	
NGFG_00777		gene	ribonuclease PH	NMB1499	rph	NGO_0958	rph
NGFG_00776		gene	universal stress protein	NMB1500		NGO_0959	
NGFG_00775		gene	HesA/MoeB/ThiF family protein	NMB1501		NGO_0960	
NGFG_00774		gene	segregation and condensation protein A	NMB1504		NGO_0961	
NGFG_00773		gene	nicotinate phosphoribosyltransferase	NMB1505	pncB	NGO_0962	pncB
NGFG_00772		gene	arginyl-tRNA synthetase	NMB1506	argS	NGO_0963	argS
NGFG_00770		gene	hypothetical protein	NMB1508		NGO_05045	
NGFG_02332		gene	hypothetical protein				
NGFG_00768		gene	polar amino acid ABC transporter permease	NMB1509		NGO_0968	
NGFG_00766		gene	nuclease	NMB1510		NGO_0969	
NGFG_00765		gene	ribose-5-phosphate isomerase A	NMB1511	rpiA	NGO_0970	rpiA
NGFG_00764		gene	2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase	NMB1512		NGO_0971	
NGFG_00763		gene	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	NMB1513		NGO_0972	
NGFG_00762		gene	DNA polymerase III%2C epsilon subunit	NMB1514	dnaQ	NGO_0973	dnaQ
NGFG_00761		gene	major facilitator family transporter	NMB1515		NGO_0974	
NGFG_00760		gene	cytochrome oxidase maturation protein	NMB1516	ccoS	NGO_0975	ccoS
NGFG_00759		gene	hypothetical protein	NMB1517		NGO_0976	
NGFG_00758		gene	acetate kinase 1	NMB1518		NGO_0977	
NGFG_00757	dsbD	gene	Thiol:disulfide interchange protein DsbD	NMB1519	dsbD	NGO_0978	dsbD
NGFG_00756		gene	hypothetical protein	NMB1521a		NGO_0979	
NGFG_00755	hpnC	gene	squalene synthase HpnC	NMB1521	hpnC	NGO_0980	hpnC
NGFG_00754	slyD	gene	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	NMB1522		NGO_0981	
NGFG_00752		gene	outer membrane protein H.8	NMB1523		NGO_0983	
NGFG_00751		gene	oxidoreductase%2C FAD-binding protein	NMB1524		NGO_0984	
NGFG_00750		gene	thymidylate kinase			NGO_05145	
NGFG_00747		gene	SsrA-binding protein	NMB1526	smpB	NGO_0986	smpB
NGFG_00746		gene	lipopolysaccharide heptosyltransferase II	NMB1527	waaF	NGO_0987	waaF
NGFG_00745		gene	methylated-DNA-[protein]-cysteine S-methyltransferase	NMB1528		NGO_0988	
NGFG_00744		gene	hypothetical protein				
NGFG_00743		gene	AraC family transcriptional regulator			NGO_0990	
NGFG_00742		gene	succinyl-diaminopimelate desuccinylase	NMB1530	dapE	NGO_0991	dapE
NGFG_00741		gene	hypothetical protein	NMB1531		NGO_0992	
NGFG_00740		gene	hypothetical protein	NMB1532		NGO_0993	
NGFG_00739		gene	outer membrane protein H.8	NMB1533	azu	NGO_0994	azu
NGFG_00736		gene	hypothetical protein	NMB1536q		NGO_0995	
NGFG_00735	secA	gene	protein translocase subunit secA	NMB1536	secA	NGO_0996	secA
NGFG_00734		gene	DNA primase	NMB1537		NGO_0998	
NGFG_00733	rpoD	gene	RNA polymerase sigma factor rpoD	NMB1538	rpoD	NGO_0999	rpoD
NGFG_00732	cas4	gene	CRISPR-associated protein cas4			NGO_1000	
NGFG_00731	cas4	gene	CRISPR-associated protein cas4				
NGFG_00730		gene	hypothetical protein				
NGFG_02333		gene	hypothetical protein				
NGFG_00729		gene	CRISPR-associated recb family exonuclease			NGO_1001	cas4
NGFG_00728		gene	phage protein			NGO_1002	
NGFG_00727		gene	CRISPR-associated protein			NGO_1003	cas7c
NGFG_02334		gene	transposase				cas5
NGFG_02335		gene	hypothetical protein				
NGFG_00725		gene	TraR family phage/conjugal plasmid C-4 type zinc finger protein			NGO_1007	
NGFG_00724		gene	phage protein			NGO_1008	
NGFG_00723		gene	phage protein	NMB1014		NGO_1009	
NGFG_00721		gene	phage protein			NGO_1012	
NGFG_00720		gene	phage repressor protein	NMB1007		NGO_1013	
NGFG_00719		gene	hypothetical protein				
NGFG_00718		gene	phage protein			NGO_1013a	
NGFG_00717		gene	hypothetical protein	NMB1003		NGO_1015	
NGFG_00715		gene	phage protein			NGO_1020	
NGFG_00713		gene	2-nitropropane dioxygenase	NMB1452		NGO_1024	
NGFG_00712		gene	hypothetical protein	NMB1453		NGO_1025	
NGFG_00711		gene	ferredoxin	NMB1454	ccoG	NGO_1026	ccoG
NGFG_00709		gene	transketolase	NMB1457	tkt	NGO_1028	tkt
NGFG_00708		gene	fumarate hydratase class II	NMB1458	fumC	NGO_1029	fumC
NGFG_00707		gene	hypothetical protein	NMB1459		NGO_1030	
NGFG_00705		gene	single-stranded DNA-binding protein	NMB1460		NGO_1031	
NGFG_00704		gene	major facilitator family transporter drug resistance translocase	NMB1461		NGO_1032	
NGFG_00703		gene	transglycosylase	NMB1462		NGO_1033	
NGFG_00701		gene	transposase			NGO_05410	
NGFG_02336		gene	hypothetical protein	NMB1464		NGO_05415	
NGFG_02337		gene	opacity protein	NMB1636		NGO_1277a	
NGFG_02338		gene	opacity protein				
NGFG_00699		gene	hypothetical protein	NMB1466		NGO_1040	
NGFG_00698		gene	exopolyphosphatase	NMB1467	ppx	NGO_1041	
NGFG_02339		gene	hypothetical protein	NMB1468		NGO_1043	
NGFG_00696		gene	hypothetical protein	NMB1470		NGO_1044	
NGFG_00695		gene	tryptophanyl-tRNA synthetase	NMB1471	trpS	NGO_1045	trpS
NGFG_00694	clpB	gene	chaperone ClpB	NMB1472	clpB	NGO_1046	clpB
NGFG_00693	alaT	gene	aminotransferase AlaT	NMB1473		NGO_1047	
NGFG_00692		gene	4-oxalocrotonate tautomerase family enzyme	NMB1474		NGO_1048	
NGFG_00691		gene	hypothetical protein	NMB1475		NGO_1049	
NGFG_02340		gene	hypothetical protein				
NGFG_00688		gene	phosphoglycolate phosphatase	NMB1478		NGO_1052	
NGFG_00687	recX	gene	regulatory protein recX	NMB1479	recX	NGO_1053	recX
NGFG_00686		gene	hypothetical protein	NMB1480		NGO_1054	
NGFG_00684		gene	acyl-CoA thioester hydrolase	NMB1482		NGO_1055	
NGFG_00683	nlpD	gene	lipoprotein NlpD	NMB1483		NGO_1056	
NGFG_00682	surE	gene	5'-nucleotidase surE	NMB1484	surE	NGO_1058	surE
NGFG_00679	fimB	gene	fimbrial assembly protein FimB	NMB1487		NGO_1060	
NGFG_00678		gene	succinate-semialdehyde dehydrogenase	NMB1488		NGO_1061	
NGFG_00676		gene	hypothetical protein	NMB1489		NGO_05545	
NGFG_00675		gene	lipoprotein	NMB1490		NGO_1063	
NGFG_00674		gene	carbon starvation protein	NMB1493		NGO_1064	
NGFG_00673		gene	hypothetical protein	NMB1494		NGO_1065	
NGFG_02341		gene	hypothetical protein			NGO_1074	
NGFG_02217	mafA	gene	adhesin mafA	NMB2104	mafA	NGO_1067	mafA
NGFG_00672		gene	MafB family adhesin protein	NMB2105	mafB	NGO_1971	
NGFG_00671		gene	hypothetical protein				
NGFG_00670		gene	hypothetical protein	NMB2112			
NGFG_02342		gene	hypothetical protein				
NGFG_02343		gene	hypothetical protein				
NGFG_00667		gene	hypothetical protein	NMB2121			
NGFG_00666		gene	hypothetical protein				
NGFG_02344		gene	hypothetical protein				
NGFG_02345		gene	hypothetical protein				
NGFG_02346		gene	MafB family adhesin protein	NMB2105	mafB	NGO_1068	mafB
NGFG_02347		gene	hypothetical protein				
NGFG_02348		gene	hypothetical protein	NMB2113		NGO_1069	
NGFG_02349		gene	hypothetical protein				
NGFG_00664		gene	hypothetical protein	NMB2118		NGO_1070	
NGFG_00662		gene	hypothetical protein				
NGFG_00661		gene	hypothetical protein	NMB2115		NGO_1073	
NGFG_02350		gene	hypothetical protein			NGO_1074	
NGFG_02351		gene	opacity protein	NMB1636		NGO_1073a	
NGFG_00659	yciA	gene	acyl-CoA thioesterase YciA	NMB0925	yciA	NGO_1078	yciA
NGFG_00658		gene	oxidoreductase	NMB0924		NGO_1079	
NGFG_00657		gene	cytochrome c'	NMB0923		NGO_1080	
NGFG_00656		gene	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2%2C3-sialyltransferase	NMB0922	lst	NGO_1081	lst
NGFG_00654		gene	isocitrate dehydrogenase%2C NADP-dependent	NMB0920		NGO_1082	
NGFG_00653		gene	hypothetical protein			NGO_1083	
NGFG_00652		gene	hypothetical protein			NGO_1084	
NGFG_00651		gene	phage protein			NGO_1085	
NGFG_00649		gene	hypothetical protein			NGO_05680	
NGFG_00648		gene	phage protein			NGO_1088	
NGFG_00647		gene	phage protein			NGO_1089	
NGFG_00646		gene	phage protein			NGO_1090	
NGFG_02352		gene	phage protein			NGO_1092	
NGFG_00643		gene	phage protein			NGO_1094	
NGFG_00641		gene	PBSX family phage terminase%2C large subunit			NGO_1098	
NGFG_00640		gene	phage protein			NGO_1099	
NGFG_00639		gene	phage protein			NGO_1101	
NGFG_00638		gene	phage protein			NGO_1102	
NGFG_00637		gene	phage protein			NGO_1103	ninB
NGFG_02353		gene	phage protein			NGO_1104	
NGFG_02354		gene	phage protein			NGO_05770	
NGFG_02355		gene	hypothetical protein				
NGFG_02245		gene	hypothetical protein			NGO_0488	
NGFG_02356		gene	phage protein				
NGFG_02357		gene	phage protein			NGO_0487	
NGFG_01308		gene	phage protein			NGO_0486	
NGFG_01309		gene	DnaB family phage replicative helicase			NGO_0485	
NGFG_02358		gene	hypothetical protein				
NGFG_02359		gene	hypothetical protein				
NGFG_02360		gene	hypothetical protein				
NGFG_02189		gene	phage protein			NGO_0483	
NGFG_02188		gene	phage repressor protein	NMB0910		NGO_1116	
NGFG_02187		gene	phage protein			NGO_1117	
NGFG_02186		gene	phage protein			NGO_1118	
NGFG_02185		gene	phage protein			NGO_1119	
NGFG_02361		gene	phage protein			NGO_1120	
NGFG_02362		gene	phage protein			NGO_0474	
NGFG_02363		gene	hypothetical protein				
NGFG_02364		gene	phage protein			NGO_1123	
NGFG_02365		gene	phage protein			NGO_1622	
NGFG_02366		gene	phage protein			NGO_0470	
NGFG_02367		gene	phage protein			NGO_0469	
NGFG_02368		gene	phage protein			NGO_0468	
NGFG_02369		gene	hypothetical protein				
NGFG_02232		gene	phage protein			NGO_1128	
NGFG_02231		gene	phage protein			NGO_0466	
NGFG_02370		gene	phage protein			NGO_1130	
NGFG_02213		gene	hypothetical protein			NGO_1131	
NGFG_02371		gene	phage protein			NGO_1131	
NGFG_02190		gene	phage protein			NGO_1132	
NGFG_02191		gene	hypothetical protein	NMB1253		NGO_1133	
NGFG_02192		gene	GTP cyclohydrolase-2	NMB1254	ribA	NGO_1134	ribA
NGFG_02372		gene	hypothetical protein			NGO_1136	
NGFG_02373		gene	hypothetical protein			NGO_0773	
NGFG_02374		gene	phage protein			NGO_06650	
NGFG_02375		gene	hypothetical protein				
NGFG_02376		gene	phage protein	NMB1749		NGO_1138	
NGFG_02073		gene	TspB-like protein	NMB1748		NGO_1264	
NGFG_02074		gene	hypothetical protein				
NGFG_02075		gene	hypothetical protein	NMB0482		NGO_1142	
NGFG_02377		gene	phage protein	NMB0483		NGO_1143	
NGFG_02076		gene	hypothetical protein			NGO_1144	
NGFG_02077		gene	hypothetical protein			NGO_1145	
NGFG_02078		gene	phage protein			NGO_1146	
NGFG_02079		gene	hypothetical protein			NGO_1147	
NGFG_02080		gene	hypothetical protein	NMB1608a		NGO_1148	
NGFG_02081		gene	O-succinylhomoserine sulfhydrylase	NMB1609	metZ	NGO_1149	metZ
NGFG_02082		gene	hypothetical protein	NMB1610		NGO_1150	
NGFG_02084		gene	hypothetical protein	NMB1611		NGO_1151	
NGFG_02085		gene	histidine-binding protein	NMB1612		NGO_1152	
NGFG_02086		gene	fumarate hydratase	NMB1613		NGO_06020	
NGFG_02087	trkA	gene	trk system potassium uptake protein TrkA	NMB1614	trkA	NGO_1154	trkA
NGFG_02088		gene	outer membrane autotransporter barrel domain-containing protein			NGO_1155	
NGFG_02089		gene	hypothetical protein			NGO_1156	
NGFG_02378		gene	transposase	NMB1411		NGO_0673	
NGFG_02090		gene	hypothetical protein			NGO_1158	
NGFG_02092		gene	phosphomethylpyrimidine kinase	NMB1616	thiD	NGO_1160	thiD
NGFG_02093	tehB	gene	tellurite resistance protein TehB	NMB1617	tehB	NGO_1161	tehB
NGFG_02094		gene	ribonuclease H	NMB1618	rnhA	NGO_1162	rnhA
NGFG_02379		gene	hypothetical protein			NGO_1137	
NGFG_02380		gene	phage protein			NGO_06650	
NGFG_02381		gene	phage protein	NMB1749		NGO_1263	
NGFG_02382		gene	phage protein	NMB1748		NGO_1264	
NGFG_02383		gene	TspB3 protein	NMB1747	tspB	NGO_1140	tspB
NGFG_02384		gene	cell-surface protein				
NGFG_02385		gene	hypothetical protein				
NGFG_02386		gene	hypothetical protein	NMB0482		NGO_1142	
NGFG_02387		gene	hypothetical protein	NMB0484		NGO_1169	
NGFG_02388		gene	hypothetical protein	NMB0485		NGO_1170	
NGFG_02389		gene	replication initiation factor	NMB0486			
NGFG_02180	vsr	gene	DNA mismatch endonuclease Vsr			NGO_1173	
NGFG_02183		gene	hypothetical protein				
NGFG_02390		gene	hypothetical protein				
NGFG_02184		gene	pilin	NMB2016		NGO_1177	
