locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	BlastHit	locustag_in_Nmen	GN_in_Nmen	type_in_Nmen	product_in_Nmen	locustag_in_FA1090	GN_in_FA1090	type_in_FA1090	product_in_FA1090
NGFG_00747		gene	SsrA-binding protein	"	Nmen	FA1090"	NMB1526	smpB	gene	SsrA-binding protein SmpB	NGO_0986	smpB	gene	SsrA-binding protein SmpB
NGFG_00746		gene	lipopolysaccharide heptosyltransferase II	"	Nmen	FA1090"	NMB1527	waaF	gene	lipopolysaccharide heptosyltransferase II	NGO_0987	waaF	gene	lipopolysaccharide heptosyltransferase II
NGFG_06015		tRNA	tRNA-Asn	""								
NGFG_00745		gene	methylated-DNA-[protein]-cysteine S-methyltransferase	"	Nmen	FA1090"	NMB1528		gene	methylated-DNA--[protein]-cysteine S-methyltransferase	NGO_0988		gene	methylated-DNA--[protein]-cysteine S-methyltransferase
NGFG_00744		gene	hypothetical protein	""								
NGFG_00743		gene	AraC family transcriptional regulator	"	FA1090"					NGO_0990		gene	AraC family transcriptional regulator
NGFG_00742		gene	succinyl-diaminopimelate desuccinylase	"	Nmen	FA1090"	NMB1530	dapE	gene	succinyl-diaminopimelate desuccinylase	NGO_0991	dapE	gene	succinyl-diaminopimelate desuccinylase
NGFG_00741		gene	hypothetical protein	"	Nmen	FA1090"	NMB1531		gene	glucose-6-phosphate 1-dehydrogenase family protein	NGO_0992		gene	glucose-6-phosphate 1-dehydrogenase
NGFG_00740		gene	hypothetical protein	"	Nmen	FA1090"	NMB1532		gene	hemerythrin domain-containing protein	NGO_0993		gene	hemerythrin domain-containing protein
NGFG_00739		gene	outer membrane protein H.8	"	Nmen	FA1090"	NMB1533	azu	gene	azurin	NGO_0994	azu	gene	azurin
NGFG_00736		gene	hypothetical protein	"	Nmen	FA1090"	NMB1536q		gene	DUF721 domain-containing protein	NGO_0995		gene	DUF721 domain-containing protein
NGFG_00735	secA	gene	protein translocase subunit secA	"	Nmen	FA1090"	NMB1536	secA	gene	preprotein translocase subunit SecA	NGO_0996	secA	gene	preprotein translocase subunit SecA
NGFG_00734		gene	DNA primase	"	Nmen	FA1090"	NMB1537		gene	DNA primase	NGO_0998		gene	DNA primase
NGFG_00733	rpoD	gene	RNA polymerase sigma factor rpoD	"	Nmen	FA1090"	NMB1538	rpoD	gene	RNA polymerase sigma factor RpoD	NGO_0999	rpoD	gene	RNA polymerase sigma factor RpoD
NGFG_00732	cas4	gene	CRISPR-associated protein cas4	"	FA1090"					NGO_1000		pseudogene	Dna2/Cas4 domain-containing protein
NGFG_00731	cas4	gene	CRISPR-associated protein cas4	""								
NGFG_00730		gene	hypothetical protein	""								
NGFG_02333		gene	hypothetical protein	""								
NGFG_00729		gene	CRISPR-associated recb family exonuclease	"	FA1090"					NGO_1001	cas4	pseudogene	CRISPR-associated protein Cas4
NGFG_00728		gene	phage protein	"	FA1090"					NGO_1002		gene	hypothetical protein
NGFG_00727		gene	CRISPR-associated protein	"	FA1090"					NGO_1003	cas7c	pseudogene	type I-C CRISPR-associated protein Cas7/Csd2
NGFG_00726		pseudogene		"	FA1090"					NGO_1004		gene	type I-C CRISPR-associated protein Cas8c/Csd1
NGFG_02334		gene	transposase	"	FA1090"						cas5	pseudogene	type I-C CRISPR-associated protein Cas5
NGFG_02335		gene	hypothetical protein	""								
NGFG_00725		gene	TraR family phage/conjugal plasmid C-4 type zinc finger protein	"	FA1090"					NGO_1007		gene	TraR/DksA family transcriptional regulator
NGFG_00724		gene	phage protein	"	FA1090"					NGO_1008		gene	hypothetical protein
NGFG_00723		gene	phage protein	"	Nmen	FA1090"	NMB1014		gene	hypothetical protein	NGO_1009		gene	hypothetical protein
NGFG_00722		pseudogene		"	FA1090"							pseudogene	hypothetical protein
NGFG_00721		gene	phage protein	"	FA1090"					NGO_1012		gene	nucleoid-associated protein
NGFG_00720		gene	phage repressor protein	"	Nmen	FA1090"	NMB1007		gene	helix-turn-helix transcriptional regulator	NGO_1013		gene	helix-turn-helix transcriptional regulator
NGFG_00719		gene	hypothetical protein	""								
NGFG_00718		gene	phage protein	"	FA1090"					NGO_1013a		gene	hypothetical protein
NGFG_00717		gene	hypothetical protein	"	Nmen	FA1090"	NMB1003		gene	hypothetical protein	NGO_1015		gene	winged helix-turn-helix transcriptional regulator
NGFG_00716		pseudogene		"	Nmen	FA1090"	NMB1002		gene	DUF3102 domain-containing protein	NGO_05325		pseudogene	hypothetical protein
NGFG_00715		gene	phage protein	"	FA1090"					NGO_1020		gene	DDE-type integrase/transposase/recombinase
NGFG_00714		pseudogene		"	Nmen	FA1090"	NMB1451		gene	3'-5' exonuclease	NGO_05335		pseudogene	3'-5' exonuclease
NGFG_06016		tRNA	tRNA-Arg	""								
NGFG_06017		tRNA	tRNA-Glu	""								
NGFG_00713		gene	2-nitropropane dioxygenase	"	Nmen	FA1090"	NMB1452		pseudogene	nitronate monooxygenase	NGO_1024		gene	nitronate monooxygenase
NGFG_00712		gene	hypothetical protein	"	Nmen	FA1090"	NMB1453		gene	FixH family protein	NGO_1025		gene	FixH family protein
NGFG_00711		gene	ferredoxin	"	Nmen	FA1090"	NMB1454	ccoG	gene	cytochrome c oxidase accessory protein CcoG	NGO_1026	ccoG	gene	cytochrome c oxidase accessory protein CcoG
NGFG_00709		gene	transketolase	"	Nmen	FA1090"	NMB1457	tkt	gene	transketolase	NGO_1028	tkt	gene	transketolase
NGFG_00708		gene	fumarate hydratase class II	"	Nmen	FA1090"	NMB1458	fumC	gene	class II fumarate hydratase	NGO_1029	fumC	gene	class II fumarate hydratase
NGFG_00707		gene	hypothetical protein	"	Nmen	FA1090"	NMB1459		gene	DMT family transporter	NGO_1030		gene	DMT family transporter
NGFG_00705		gene	single-stranded DNA-binding protein	"	Nmen	FA1090"	NMB1460		gene	single-stranded DNA-binding protein	NGO_1031		gene	single-stranded DNA-binding protein
NGFG_00704		gene	major facilitator family transporter drug resistance translocase	"	Nmen	FA1090"	NMB1461		gene	MFS transporter	NGO_1032		gene	MFS transporter
NGFG_00703		gene	transglycosylase	"	Nmen	FA1090"	NMB1462		gene	lytic transglycosylase domain-containing protein	NGO_1033		gene	lytic transglycosylase domain-containing protein
NGFG_00701		gene	transposase	"	FA1090"					NGO_05410		pseudogene	transposase
NGFG_02336		gene	hypothetical protein	"	Nmen	FA1090"	NMB1464		gene	transposase	NGO_05415		pseudogene	transposase
NGFG_00700		pseudogene		"	Nmen	FA1090"	NMB1464		gene	transposase	NGO_05415		pseudogene	transposase
NGFG_02337		gene	opacity protein	"	Nmen	FA1090"	NMB1636		gene	outer membrane beta-barrel protein	NGO_1277a		gene	outer membrane beta-barrel protein
NGFG_02338		gene	opacity protein	""								
NGFG_00699		gene	hypothetical protein	"	Nmen	FA1090"	NMB1466		gene	DUF560 domain-containing protein	NGO_1040		gene	DUF560 domain-containing protein
NGFG_00698		gene	exopolyphosphatase	"	Nmen	FA1090"	NMB1467	ppx	gene	exopolyphosphatase	NGO_1041		gene	Ppx/GppA family phosphatase
NGFG_02339		gene	hypothetical protein	"	Nmen	FA1090"	NMB1468		gene	hypothetical protein	NGO_1043		gene	hypothetical protein
NGFG_00696		gene	hypothetical protein	"	Nmen	FA1090"	NMB1470		gene	hypothetical protein	NGO_1044		gene	hypothetical protein
NGFG_00695		gene	tryptophanyl-tRNA synthetase	"	Nmen	FA1090"	NMB1471	trpS	gene	tryptophan--tRNA ligase	NGO_1045	trpS	gene	tryptophan--tRNA ligase
NGFG_00694	clpB	gene	chaperone ClpB	"	Nmen	FA1090"	NMB1472	clpB	gene	ATP-dependent chaperone ClpB	NGO_1046	clpB	gene	ATP-dependent chaperone ClpB
NGFG_00693	alaT	gene	aminotransferase AlaT	"	Nmen	FA1090"	NMB1473		gene	pyridoxal phosphate-dependent aminotransferase	NGO_1047		gene	pyridoxal phosphate-dependent aminotransferase
NGFG_00692		gene	4-oxalocrotonate tautomerase family enzyme	"	Nmen	FA1090"	NMB1474		gene	4-oxalocrotonate tautomerase family protein	NGO_1048		gene	4-oxalocrotonate tautomerase family protein
NGFG_00691		gene	hypothetical protein	"	Nmen	FA1090"	NMB1475		gene	DUF4198 domain-containing protein	NGO_1049		gene	DUF4198 domain-containing protein
NGFG_02340		gene	hypothetical protein	""								
NGFG_00690		pseudogene		"	Nmen	FA1090"	NMB1476		gene	Glu/Leu/Phe/Val dehydrogenase	NGO_05475		pseudogene	Glu/Leu/Phe/Val dehydrogenase
NGFG_00688		gene	phosphoglycolate phosphatase	"	Nmen	FA1090"	NMB1478		pseudogene	phosphoglycolate phosphatase	NGO_1052		gene	phosphoglycolate phosphatase
NGFG_00687	recX	gene	regulatory protein recX	"	Nmen	FA1090"	NMB1479	recX	gene	recombination regulator RecX	NGO_1053	recX	gene	recombination regulator RecX
NGFG_00686		gene	hypothetical protein	"	Nmen	FA1090"	NMB1480		gene	hypothetical protein	NGO_1054		gene	hypothetical protein
NGFG_00684		gene	acyl-CoA thioester hydrolase	"	Nmen	FA1090"	NMB1482		gene	acyl-CoA thioesterase	NGO_1055		gene	acyl-CoA thioesterase
NGFG_00683	nlpD	gene	lipoprotein NlpD	"	Nmen	FA1090"	NMB1483		gene	peptidoglycan DD-metalloendopeptidase family protein	NGO_1056		gene	peptidoglycan DD-metalloendopeptidase family protein
NGFG_00682	surE	gene	5'-nucleotidase surE	"	Nmen	FA1090"	NMB1484	surE	gene	5'/3'-nucleotidase SurE	NGO_1058	surE	gene	5'/3'-nucleotidase SurE
NGFG_00681		pseudogene		"	Nmen	FA1090"	NMB1485		gene	TerC family protein	NGO_1059		gene	TerC family protein
NGFG_00679	fimB	gene	fimbrial assembly protein FimB	"	Nmen	FA1090"	NMB1487		gene	fimb protein	NGO_1060		gene	fimb protein
NGFG_00678		gene	succinate-semialdehyde dehydrogenase	"	Nmen	FA1090"	NMB1488		gene	NAD-dependent succinate-semialdehyde dehydrogenase	NGO_1061		gene	NAD-dependent succinate-semialdehyde dehydrogenase
NGFG_00676		gene	hypothetical protein	"	Nmen	FA1090"	NMB1489		gene	CdiI family contact-dependent growth inhibition immunity protein	NGO_05545		pseudogene	CdiI family contact-dependent growth inhibition immunity protein
NGFG_00675		gene	lipoprotein	"	Nmen	FA1090"	NMB1490		gene	MliC family protein	NGO_1063		gene	MliC family protein
NGFG_00674		gene	carbon starvation protein	"	Nmen	FA1090"	NMB1493		gene	carbon starvation protein A	NGO_1064		gene	carbon starvation protein A
NGFG_00673		gene	hypothetical protein	"	Nmen	FA1090"	NMB1494		gene	YbdD/YjiX family protein	NGO_1065		gene	YbdD/YjiX family protein
NGFG_02341		gene	hypothetical protein	"	FA1090"					NGO_1074		gene	transposase
NGFG_02217	mafA	gene	adhesin mafA	"	Nmen	FA1090"	NMB2104	mafA	pseudogene	adhesin MafA	NGO_1067	mafA	gene	adhesin MafA
NGFG_00672		gene	MafB family adhesin protein	"	Nmen	FA1090"	NMB2105	mafB	gene	polymorphic toxin MafB class 3	NGO_1971		gene	MafB family polymorphic toxin
NGFG_00671		gene	hypothetical protein	"	Nmen"			gene	hypothetical protein				
NGFG_00670		gene	hypothetical protein	"	Nmen"	NMB2112		gene	hypothetical protein				
NGFG_02342		gene	hypothetical protein	""								
NGFG_02343		gene	hypothetical protein	""								
NGFG_00667		gene	hypothetical protein	"	Nmen"	NMB2121		gene	hypothetical protein				
NGFG_00666		gene	hypothetical protein	""								
NGFG_02344		gene	hypothetical protein	""								
NGFG_02345		gene	hypothetical protein	""								
NGFG_02346		gene	MafB family adhesin protein	"	Nmen	FA1090"	NMB2105	mafB	gene	polymorphic toxin MafB class 3	NGO_1068	mafB	gene	polymorphic toxin MafB class 3
NGFG_02347		gene	hypothetical protein	""								
NGFG_02348		gene	hypothetical protein	"	Nmen	FA1090"	NMB2113		gene	hypothetical protein	NGO_1069		gene	hypothetical protein
NGFG_02349		gene	hypothetical protein	""								
NGFG_00664		gene	hypothetical protein	"	Nmen	FA1090"	NMB2118		gene	hypothetical protein	NGO_1070		gene	hypothetical protein
NGFG_00662		gene	hypothetical protein	"	Nmen	FA1090"			gene	hypothetical protein			gene	hypothetical protein
NGFG_00661		gene	hypothetical protein	"	Nmen	FA1090"	NMB2115		gene	hypothetical protein	NGO_1073		gene	hypothetical protein
NGFG_02350		gene	hypothetical protein	"	FA1090"					NGO_1074		gene	transposase
NGFG_00660		pseudogene		"	Nmen	FA1090"	NMB1969	nalP	gene	serine endopeptidase autotransporter NalP	NGO_05610		gene	autotransporter
NGFG_02351		gene	opacity protein	"	Nmen	FA1090"	NMB1636		gene	outer membrane beta-barrel protein	NGO_1073a		gene	outer membrane beta-barrel protein
NGFG_00659	yciA	gene	acyl-CoA thioesterase YciA	"	Nmen	FA1090"	NMB0925	yciA	gene	acyl-CoA thioester hydrolase YciA	NGO_1078	yciA	gene	acyl-CoA thioester hydrolase YciA
NGFG_00658		gene	oxidoreductase	"	Nmen	FA1090"	NMB0924		gene	SDR family oxidoreductase	NGO_1079		gene	SDR family oxidoreductase
NGFG_00657		gene	cytochrome c'	"	Nmen	FA1090"	NMB0923		gene	cytochrome c	NGO_1080		gene	cytochrome c
NGFG_00656		gene	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2%2C3-sialyltransferase	"	Nmen	FA1090"	NMB0922	lst	gene	N-acetyllactosaminide alpha-2%2C3-sialyltransferase	NGO_1081	lst	gene	N-acetyllactosaminide alpha-2%2C3-sialyltransferase
NGFG_00654		gene	isocitrate dehydrogenase%2C NADP-dependent	"	Nmen	FA1090"	NMB0920		gene	NADP-dependent isocitrate dehydrogenase	NGO_1082		gene	NADP-dependent isocitrate dehydrogenase
NGFG_00653		gene	hypothetical protein	"	FA1090"					NGO_1083		gene	hypothetical protein
NGFG_00652		gene	hypothetical protein	"	FA1090"					NGO_1084		gene	hypothetical protein
NGFG_00651		gene	phage protein	"	FA1090"					NGO_1085		gene	Bro-N domain-containing protein
NGFG_00649		gene	hypothetical protein	"	FA1090"					NGO_05680		gene	hypothetical protein
NGFG_00648		gene	phage protein	"	FA1090"					NGO_1088		gene	hypothetical protein
NGFG_00647		gene	phage protein	"	FA1090"					NGO_1089		gene	hypothetical protein
NGFG_00646		gene	phage protein	"	FA1090"					NGO_1090		gene	DUF4043 family protein
NGFG_02352		gene	phage protein	"	FA1090"					NGO_1092		pseudogene	PLxRFG domain-containing protein
NGFG_00643		gene	phage protein	"	FA1090"					NGO_1094		gene	hypothetical protein
NGFG_00642		pseudogene		"	FA1090"					NGO_1097		gene	hypothetical protein
NGFG_00641		gene	PBSX family phage terminase%2C large subunit	"	FA1090"					NGO_1098		gene	PBSX family phage terminase large subunit
NGFG_00640		gene	phage protein	"	FA1090"					NGO_1099		gene	hypothetical protein
NGFG_00639		gene	phage protein	"	FA1090"					NGO_1101		gene	hypothetical protein
NGFG_00638		gene	phage protein	"	FA1090"					NGO_1102		gene	HNH endonuclease
NGFG_00637		gene	phage protein	"	FA1090"					NGO_1103	ninB	gene	recombination protein NinB
NGFG_02353		gene	phage protein	"	FA1090"					NGO_1104		gene	DUF1364 family protein
NGFG_02354		gene	phage protein	"	FA1090"					NGO_05770		gene	RusA family crossover junction endodeoxyribonuclease
NGFG_02355		gene	hypothetical protein	""								
NGFG_02245		gene	hypothetical protein	"	FA1090"					NGO_0488		gene	hypothetical protein
NGFG_02356		gene	phage protein	""								
NGFG_02357		gene	phage protein	"	FA1090"					NGO_0487		gene	DUF3310 domain-containing protein
NGFG_01308		gene	phage protein	"	FA1090"					NGO_0486		gene	hypothetical protein
NGFG_01309		gene	DnaB family phage replicative helicase	"	FA1090"					NGO_0485		gene	hypothetical protein
NGFG_02358		gene	hypothetical protein	""								
NGFG_02359		gene	hypothetical protein	""								
NGFG_02360		gene	hypothetical protein	""								
NGFG_02189		gene	phage protein	"	FA1090"					NGO_0483		gene	helix-turn-helix domain-containing protein
NGFG_02188		gene	phage repressor protein	"	Nmen	FA1090"	NMB0910		gene	helix-turn-helix transcriptional regulator	NGO_1116		gene	helix-turn-helix transcriptional regulator
NGFG_02187		gene	phage protein	"	FA1090"					NGO_1117		gene	SocA family protein
NGFG_02186		gene	phage protein	"	FA1090"					NGO_1118		gene	hypothetical protein
NGFG_02185		gene	phage protein	"	FA1090"					NGO_1119		gene	hypothetical protein
NGFG_02361		gene	phage protein	"	FA1090"					NGO_1120		gene	hypothetical protein
NGFG_02362		gene	phage protein	"	FA1090"					NGO_0474		gene	hypothetical protein
NGFG_02363		gene	hypothetical protein	""								
NGFG_02364		gene	phage protein	"	FA1090"					NGO_1123		gene	hypothetical protein
NGFG_02365		gene	phage protein	"	FA1090"					NGO_1622		gene	hypothetical protein
NGFG_02366		gene	phage protein	"	FA1090"					NGO_0470		gene	hypothetical protein
NGFG_02367		gene	phage protein	"	FA1090"					NGO_0469		gene	hypothetical protein
NGFG_02368		gene	phage protein	"	FA1090"					NGO_0468		gene	hypothetical protein
NGFG_02369		gene	hypothetical protein	""								
NGFG_02232		gene	phage protein	"	FA1090"					NGO_1128		gene	siphovirus Gp157 family protein
NGFG_02231		gene	phage protein	"	FA1090"					NGO_0466		gene	hypothetical protein
NGFG_02370		gene	phage protein	"	FA1090"					NGO_1130		gene	hypothetical protein
NGFG_02213		gene	hypothetical protein	"	FA1090"					NGO_1131		gene	hypothetical protein
NGFG_02371		gene	phage protein	"	FA1090"					NGO_1131		gene	hypothetical protein
NGFG_02190		gene	phage protein	"	FA1090"					NGO_1132		gene	hypothetical protein
NGFG_06018		tRNA	tRNA-Leu	""								
NGFG_02191		gene	hypothetical protein	"	Nmen	FA1090"	NMB1253		gene	hypothetical protein	NGO_1133		gene	hypothetical protein
NGFG_02192		gene	GTP cyclohydrolase-2	"	Nmen	FA1090"	NMB1254	ribA	gene	GTP cyclohydrolase II	NGO_1134	ribA	gene	GTP cyclohydrolase II
NGFG_02372		gene	hypothetical protein	"	FA1090"					NGO_1136		pseudogene	glycosyltransferase
NGFG_02373		gene	hypothetical protein	"	FA1090"					NGO_0773		gene	transposase
NGFG_02374		gene	phage protein	"	FA1090"					NGO_06650		gene	hypothetical protein
NGFG_02375		gene	hypothetical protein	""								
NGFG_02376		gene	phage protein	"	Nmen	FA1090"	NMB1749		gene	zonular occludens toxin domain-containing protein	NGO_1138		gene	hypothetical protein
NGFG_02073		gene	TspB-like protein	"	Nmen	FA1090"	NMB1748		gene	DUF2523 domain-containing protein	NGO_1264		gene	DUF2523 domain-containing protein
NGFG_02074		gene	hypothetical protein	""								
NGFG_02075		gene	hypothetical protein	"	Nmen	FA1090"	NMB0482		gene	hypothetical protein	NGO_1142		gene	hypothetical protein
NGFG_02377		gene	phage protein	"	Nmen	FA1090"	NMB0483		gene	hypothetical protein	NGO_1143		gene	membrane protein
NGFG_02076		gene	hypothetical protein	"	FA1090"					NGO_1144		gene	hypothetical protein
NGFG_02077		gene	hypothetical protein	"	FA1090"					NGO_1145		gene	hypothetical protein
NGFG_02078		gene	phage protein	"	FA1090"					NGO_1146		gene	replication initiation factor domain-containing protein
NGFG_02079		gene	hypothetical protein	"	FA1090"					NGO_1147		gene	hypothetical protein
NGFG_02080		gene	hypothetical protein	"	Nmen	FA1090"	NMB1608a		gene	DUF2788 domain-containing protein	NGO_1148		gene	DUF2788 domain-containing protein
NGFG_02081		gene	O-succinylhomoserine sulfhydrylase	"	Nmen	FA1090"	NMB1609	metZ	gene	O-succinylhomoserine sulfhydrylase	NGO_1149	metZ	gene	O-succinylhomoserine sulfhydrylase
NGFG_02082		gene	hypothetical protein	"	Nmen	FA1090"	NMB1610		gene	hypothetical protein	NGO_1150		gene	hypothetical protein
NGFG_02084		gene	hypothetical protein	"	Nmen	FA1090"	NMB1611		gene	hypothetical protein	NGO_1151		gene	hypothetical protein
NGFG_02085		gene	histidine-binding protein	"	Nmen	FA1090"	NMB1612		gene	basic amino acid ABC transporter substrate-binding protein	NGO_1152		gene	basic amino acid ABC transporter substrate-binding protein
NGFG_02086		gene	fumarate hydratase	"	Nmen	FA1090"	NMB1613		gene	fumarate hydratase	NGO_06020		gene	fumarate hydratase
NGFG_02087	trkA	gene	trk system potassium uptake protein TrkA	"	Nmen	FA1090"	NMB1614	trkA	gene	Trk system potassium transporter TrkA	NGO_1154	trkA	gene	Trk system potassium transporter TrkA
NGFG_02088		gene	outer membrane autotransporter barrel domain-containing protein	"	FA1090"					NGO_1155		gene	autotransporter outer membrane beta-barrel domain-containing protein
NGFG_02089		gene	hypothetical protein	"	FA1090"					NGO_1156		gene	hypothetical protein
NGFG_02378		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0673		gene	IS1595 family transposase
NGFG_02090		gene	hypothetical protein	"	FA1090"					NGO_1158		gene	hypothetical protein
NGFG_06019		tRNA	tRNA-Glu	""								
NGFG_02092		gene	phosphomethylpyrimidine kinase	"	Nmen	FA1090"	NMB1616	thiD	gene	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	NGO_1160	thiD	gene	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
NGFG_02093	tehB	gene	tellurite resistance protein TehB	"	Nmen	FA1090"	NMB1617	tehB	gene	SAM-dependent methyltransferase TehB	NGO_1161	tehB	gene	SAM-dependent methyltransferase TehB
NGFG_02094		gene	ribonuclease H	"	Nmen	FA1090"	NMB1618	rnhA	gene	ribonuclease HI	NGO_1162	rnhA	gene	ribonuclease HI
NGFG_02379		gene	hypothetical protein	"	FA1090"					NGO_1137		gene	IS110 family transposase
NGFG_02380		gene	phage protein	"	FA1090"					NGO_06650		gene	hypothetical protein
NGFG_02381		gene	phage protein	"	Nmen	FA1090"	NMB1749		gene	zonular occludens toxin domain-containing protein	NGO_1263		gene	hypothetical protein
NGFG_02382		gene	phage protein	"	Nmen	FA1090"	NMB1748		gene	DUF2523 domain-containing protein	NGO_1264		gene	DUF2523 domain-containing protein
NGFG_02383		gene	TspB3 protein	"	Nmen	FA1090"	NMB1747	tspB	gene	T cell/B cell stimulating protein TspB	NGO_1140	tspB	gene	T cell/B cell stimulating protein TspB
NGFG_02384		gene	cell-surface protein	""								
NGFG_02385		gene	hypothetical protein	""								
NGFG_02386		gene	hypothetical protein	"	Nmen	FA1090"	NMB0482		gene	hypothetical protein	NGO_1142		gene	hypothetical protein
NGFG_02387		gene	hypothetical protein	"	Nmen	FA1090"	NMB0484		gene	hypothetical protein	NGO_1169		gene	hypothetical protein
NGFG_02388		gene	hypothetical protein	"	Nmen	FA1090"	NMB0485		gene	hypothetical protein	NGO_1170		gene	hypothetical protein
NGFG_02389		gene	replication initiation factor	"	Nmen	FA1090"	NMB0486		gene	replication initiation factor domain-containing protein			pseudogene	replication initiation factor
NGFG_02180	vsr	gene	DNA mismatch endonuclease Vsr	"	FA1090"					NGO_1173		gene	very short patch repair endonuclease
NGFG_02181		pseudogene		"	FA1090"					NGO_06145		pseudogene	TIGR02391 family protein
NGFG_02182		pseudogene		"	FA1090"					NGO_06150		gene	DNA cytosine methyltransferase
NGFG_02183		gene	hypothetical protein	""								
NGFG_02390		gene	hypothetical protein	""								
NGFG_02184		gene	pilin	"	Nmen	FA1090"	NMB2016		gene	type IV pilin protein	NGO_1177		gene	type IV pilin protein
NGFG_02391		gene	comEA protein	"	Nmen	FA1090"	NMB0299		gene	helix-hairpin-helix domain-containing protein	NGO_1178		gene	helix-hairpin-helix domain-containing protein
NGFG_06020		rRNA	5S ribosomal RNA	""								
NGFG_06021		rRNA	23S ribosomal RNA	""								
NGFG_06022		tRNA	tRNA-Ala	""								
NGFG_06023		tRNA	tRNA-Ile	""								
NGFG_06024		rRNA	16S ribosomal RNA	""								
NGFG_01985		pseudogene		"	FA1090"					NGO_06200		gene	TIGR01621 family pseudouridine synthase
NGFG_01986	iIB	gene	HAD hydrolase%2C family IIB	"	FA1090"							gene	HAD hydrolase family protein
NGFG_02392		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0528		gene	IS1595 family transposase
NGFG_01987		gene	nitrogen regulatory protein P-II 1	"	Nmen	FA1090"	NMB1995		gene	P-II family nitrogen regulator	NGO_1182		gene	P-II family nitrogen regulator
NGFG_01988		gene	phosphoribosylformylglycinamidine synthase	"	Nmen	FA1090"	NMB1996	purL	gene	phosphoribosylformylglycinamidine synthase	NGO_1183	purL	gene	phosphoribosylformylglycinamidine synthase
NGFG_01989		gene	FMN oxidoreductase	"	FA1090"					NGO_1184		gene	NADH:flavin oxidoreductase/NADH oxidase family protein
NGFG_01990		gene	ArsR family transcriptional regulator	"	FA1090"					NGO_1185		gene	winged helix-turn-helix transcriptional regulator
NGFG_01992		gene	hydroxyacylglutathione hydrolase	"	Nmen	FA1090"	NMB1997	gloB	gene	hydroxyacylglutathione hydrolase	NGO_1187	gloB	gene	hydroxyacylglutathione hydrolase
NGFG_01993		gene	magnesium transporter	"	Nmen	FA1090"	NMB1999	mgtE	gene	magnesium transporter	NGO_1188	mgtE	gene	magnesium transporter
NGFG_01994		gene	hsp33-like protein	"	Nmen	FA1090"	NMB2000	hslO	gene	Hsp33 family molecular chaperone HslO	NGO_1189	hslO	gene	Hsp33 family molecular chaperone HslO
NGFG_01996		gene	outer membrane protein	"	Nmen	FA1090"	NMB2001		gene	C40 family peptidase	NGO_1190		gene	C40 family peptidase
NGFG_01997		gene	hypothetical protein	"	Nmen	FA1090"	NMB2002		gene	hypothetical protein	NGO_1191		gene	hypothetical protein
NGFG_01999		gene	holin-like protein	"	Nmen	FA1090"	NMB2003		gene	CidA/LrgA family protein	NGO_1192		gene	CidA/LrgA family protein
NGFG_02000		gene	LrgB family protein	"	Nmen	FA1090"	NMB2004		gene	LrgB family protein	NGO_1193		gene	LrgB family protein
NGFG_02001	argJ	gene	arginine biosynthesis ArgJ	"	Nmen	FA1090"	NMB2005	argJ	gene	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	NGO_1194	argJ	gene	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
NGFG_02002		gene	chloride channel protein	"	Nmen	FA1090"	NMB2006		gene	chloride channel protein	NGO_1195		gene	chloride channel protein
NGFG_02003	hrpA	gene	ATP-dependent helicase HrpA	"	Nmen	FA1090"	NMB2007	hrpA	gene	ATP-dependent RNA helicase HrpA	NGO_1196	hrpA	gene	ATP-dependent RNA helicase HrpA
NGFG_02004		gene	hypothetical protein	"	FA1090"					NGO_1197		gene	SIR2 family protein
NGFG_02005		gene	sulfatase	"	Nmen	FA1090"	NMB2010	lpt3	gene	lipooligosaccharide phosphoethanolamine transferase	NGO_1198	lpt3	gene	lipooligosaccharide phosphoethanolamine transferase
NGFG_02006	hrpA	gene	ATP-dependent helicase HrpA	"	FA1090"					NGO_1199		gene	DUF3418 domain-containing protein
NGFG_02393		gene	hypothetical protein	"	FA1090"					NGO_0773		gene	transposase
NGFG_02248		gene	hypothetical protein	""								
NGFG_02394		gene	transposase	"	FA1090"					NGO_0072a		gene	transposase
NGFG_02007		gene	anthranilate phosphoribosyltransferase	"	Nmen	FA1090"	NMB0967	trpD	gene	anthranilate phosphoribosyltransferase	NGO_1203	trpD	gene	anthranilate phosphoribosyltransferase
NGFG_02008		gene	anthranilate synthase component II	"	Nmen	FA1090"	NMB0966		gene	aminodeoxychorismate/anthranilate synthase component II	NGO_1204		gene	aminodeoxychorismate/anthranilate synthase component II
NGFG_02010		gene	TonB-dependent receptor	"	Nmen	FA1090"	NMB0964		gene	TonB-dependent receptor	NGO_1205		gene	TonB-dependent receptor
NGFG_02011		gene	phosphatidylserine decarboxylase proenzyme	"	Nmen	FA1090"	NMB0963		gene	phosphatidylserine decarboxylase	NGO_1206		gene	phosphatidylserine decarboxylase
