locustag_in_Ngo	gene	gene_takenfrom	locustag_in_Nmen	locustag_in_FA1090	product_in_Ngo	product_in_Nmen	product_in_FA1090
NGFG_02376			NMB1749	NGO_1138	phage protein	zonular occludens toxin domain-containing protein	hypothetical protein
NGFG_02073			NMB1748	NGO_1264	TspB-like protein	DUF2523 domain-containing protein	DUF2523 domain-containing protein
NGFG_02074			NMB0481	NGO_1141	hypothetical protein	DUF1132 family protein	DUF1132 family protein
NGFG_02075			NMB0482	NGO_1142	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02377			NMB0483	NGO_1143	phage protein	hypothetical protein	membrane protein
NGFG_02076				NGO_1144	hypothetical protein		hypothetical protein
NGFG_02077				NGO_1145	hypothetical protein		hypothetical protein
NGFG_02078				NGO_1146	phage protein		replication initiation factor domain-containing protein
NGFG_02079				NGO_1147	hypothetical protein		hypothetical protein
NGFG_02080			NMB1608a	NGO_1148	hypothetical protein	DUF2788 domain-containing protein	DUF2788 domain-containing protein
NGFG_02081	metZ	Nmen_FA1090_fromgene	NMB1609	NGO_1149	O-succinylhomoserine sulfhydrylase	O-succinylhomoserine sulfhydrylase	O-succinylhomoserine sulfhydrylase
NGFG_02082			NMB1610	NGO_1150	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02084			NMB1611	NGO_1151	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02085			NMB1612	NGO_1152	histidine-binding protein	basic amino acid ABC transporter substrate-binding protein	basic amino acid ABC transporter substrate-binding protein
NGFG_02086			NMB1613	 | NGO_06020 | NGO_06025	fumarate hydratase	fumarate hydratase	 | fumarate hydratase | fumarate hydratase C-terminal domain-containing protein
NGFG_02087	trkA	Nmen_FA1090_fromgene	NMB1614	NGO_1154	trk system potassium uptake protein TrkA	Trk system potassium transporter TrkA	Trk system potassium transporter TrkA
NGFG_02088				NGO_1155	outer membrane autotransporter barrel domain-containing protein		autotransporter outer membrane beta-barrel domain-containing protein
NGFG_02089				NGO_1156	hypothetical protein		hypothetical protein
NGFG_02378			NMB1411	NGO_0673	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_02090				NGO_1158	hypothetical protein		hypothetical protein
NGFG_06019			NMBt47	NGO_t20	tRNA-Glu	tRNA-Glu	tRNA-Glu
NGFG_02092	thiD	Nmen_FA1090_fromgene	NMB1616	NGO_1160	phosphomethylpyrimidine kinase	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
NGFG_02093	tehB	Nmen_FA1090_fromgene	NMB1617	NGO_1161	tellurite resistance protein TehB	SAM-dependent methyltransferase TehB	SAM-dependent methyltransferase TehB
NGFG_02094	rnhA	Nmen_FA1090_fromgene	NMB1618	NGO_1162	ribonuclease H	ribonuclease HI	ribonuclease HI
NGFG_02379				NGO_1137	hypothetical protein		IS110 family transposase
NGFG_02380				NGO_06650	phage protein		hypothetical protein
NGFG_02381			NMB1749	NGO_1263	phage protein	zonular occludens toxin domain-containing protein	hypothetical protein
NGFG_02382			NMB1748	NGO_1264	phage protein	DUF2523 domain-containing protein	DUF2523 domain-containing protein
NGFG_02383	tspB	Nmen_FA1090_fromproduct	NMB1747	NGO_1140	TspB3 protein	T cell/B cell stimulating protein TspB	T cell/B cell stimulating protein TspB
NGFG_02384	tspB	Nmen_FA1090_fromproduct	NMB1548	NGO_1140	cell-surface protein	T cell/B cell stimulating protein TspB	T cell/B cell stimulating protein TspB
NGFG_02385			NMB0481	NGO_1141	hypothetical protein	DUF1132 family protein	DUF1132 family protein
NGFG_02386			NMB0482	NGO_1142	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02387			NMB0484	NGO_1169	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02388			NMB0485	NGO_1170	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02389			NMB0486		replication initiation factor	replication initiation factor domain-containing protein	replication initiation factor
NGFG_02180				NGO_1173	DNA mismatch endonuclease Vsr		very short patch repair endonuclease
NGFG_02181				NGO_06145			TIGR02391 family protein
NGFG_02182				 | NGO_06150 | 			 | DNA cytosine methyltransferase | DNA cytosine methyltransferase
NGFG_02183					hypothetical protein		
NGFG_02390			NMB2015		hypothetical protein	5'-nucleotidase	
NGFG_02184			NMB2016	NGO_1177	pilin	type IV pilin protein	type IV pilin protein
NGFG_02391			NMB0299	NGO_1178	comEA protein	helix-hairpin-helix domain-containing protein	helix-hairpin-helix domain-containing protein
NGFG_06020	rrf	Nmen_FA1090_fromgene	NMrrnaA5S	NGO_r01	5S ribosomal RNA	5S ribosomal RNA	5S ribosomal RNA
NGFG_06021	rNA	Nmen_FA1090_fromproduct	NMrrnaA23S	NGO_r08	23S ribosomal RNA	23S ribosomal RNA	23S ribosomal RNA
NGFG_06022			NMBt03	NGO_t29	tRNA-Ala	tRNA-Ala	tRNA-Ala
NGFG_06023			NMBt02	NGO_t30	tRNA-Ile	tRNA-Ile	tRNA-Ile
NGFG_06024	rNA	Nmen_FA1090_fromproduct	NMrrnaA16S	NGO_r03	16S ribosomal RNA	16S ribosomal RNA	16S ribosomal RNA
NGFG_01985				NGO_06200			TIGR01621 family pseudouridine synthase
NGFG_01986					HAD hydrolase%2C family IIB		HAD hydrolase family protein
NGFG_02392			NMB1411	NGO_0528	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_01987			NMB1995	NGO_1182	nitrogen regulatory protein P-II 1	P-II family nitrogen regulator	P-II family nitrogen regulator
NGFG_01988	purL	Nmen_FA1090_fromgene	NMB1996	NGO_1183	phosphoribosylformylglycinamidine synthase	phosphoribosylformylglycinamidine synthase	phosphoribosylformylglycinamidine synthase
NGFG_01989				NGO_1184	FMN oxidoreductase		NADH:flavin oxidoreductase/NADH oxidase family protein
NGFG_01990				NGO_1185	ArsR family transcriptional regulator		winged helix-turn-helix transcriptional regulator
NGFG_01992	gloB	Nmen_FA1090_fromgene	NMB1997	NGO_1187	hydroxyacylglutathione hydrolase	hydroxyacylglutathione hydrolase	hydroxyacylglutathione hydrolase
NGFG_01993	mgtE	Nmen_FA1090_fromgene	NMB1999	NGO_1188	magnesium transporter	magnesium transporter	magnesium transporter
NGFG_01994	hslO	Nmen_FA1090_fromgene	NMB2000	NGO_1189	hsp33-like protein	Hsp33 family molecular chaperone HslO	Hsp33 family molecular chaperone HslO
NGFG_01996			NMB2001	NGO_1190	outer membrane protein	C40 family peptidase	C40 family peptidase
NGFG_01997			NMB2002	NGO_1191	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01999			NMB2003	NGO_1192	holin-like protein	CidA/LrgA family protein	CidA/LrgA family protein
NGFG_02000			NMB2004	NGO_1193	LrgB family protein	LrgB family protein	LrgB family protein
NGFG_02001	argJ	Nmen_FA1090_fromgene	NMB2005	NGO_1194	arginine biosynthesis ArgJ	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
NGFG_02002			NMB2006	NGO_1195	chloride channel protein	chloride channel protein	chloride channel protein
NGFG_02003	hrpA	Nmen_FA1090_fromgene	NMB2007	NGO_1196	ATP-dependent helicase HrpA	ATP-dependent RNA helicase HrpA	ATP-dependent RNA helicase HrpA
NGFG_02004				NGO_1197	hypothetical protein		SIR2 family protein
NGFG_02005	lpt3	Nmen_FA1090_fromgene	NMB2010	NGO_1198	sulfatase	lipooligosaccharide phosphoethanolamine transferase	lipooligosaccharide phosphoethanolamine transferase
NGFG_02006			NMB2011	NGO_1199	ATP-dependent helicase HrpA	DUF3418 domain-containing protein	DUF3418 domain-containing protein
NGFG_02393				NGO_0773	hypothetical protein		transposase
NGFG_02248	trpD	Nmen_fromgene	NMB0967		hypothetical protein	anthranilate phosphoribosyltransferase	
NGFG_02394			NMB0919	NGO_00385	transposase	IS5 family transposase	transposase
NGFG_02007	trpD	Nmen_FA1090_fromgene	NMB0967	NGO_1203	anthranilate phosphoribosyltransferase	anthranilate phosphoribosyltransferase	anthranilate phosphoribosyltransferase
NGFG_02008			NMB0966	NGO_1204	anthranilate synthase component II	aminodeoxychorismate/anthranilate synthase component II	aminodeoxychorismate/anthranilate synthase component II
NGFG_02010			NMB0964	NGO_1205	TonB-dependent receptor	TonB-dependent receptor	TonB-dependent receptor
NGFG_02011			NMB0963	NGO_1206	phosphatidylserine decarboxylase proenzyme	phosphatidylserine decarboxylase	phosphatidylserine decarboxylase
NGFG_02012	uvrA	Nmen_FA1090_fromgene	NMB0962	NGO_1207	UvrABC system protein A	excinuclease ABC subunit UvrA	excinuclease ABC subunit UvrA
NGFG_02013				NGO_1208	restriction endonuclease		Eco29kI family restriction endonuclease
NGFG_02014	dcm	FA1090_fromgene		NGO_1209	DNA (cytosine-5-)-methyltransferase		DNA (cytosine-5-)-methyltransferase
NGFG_02015					hypothetical protein		transposase
NGFG_02395			NMB1411	NGO_1211	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_02016			NMB1554	NGO_1212	CTP synthase	CTP synthase	CTP synthase
NGFG_02017			NMB1555	NGO_1213	long-chain acyl-CoA synthetase	AMP-binding protein	AMP-binding protein
NGFG_02018	mnmA	Nmen_FA1090_fromgene	NMB1556	NGO_1214	tRNA-specific 2-thiouridylase mnmA	tRNA 2-thiouridine(34) synthase MnmA	tRNA 2-thiouridine(34) synthase MnmA
NGFG_02019			NMB1557	NGO_1215	hypothetical protein	copper chaperone PCu(A)C	copper chaperone PCu(A)C
NGFG_02020			NMB1558	NGO_1216	diacylglycerol kinase	diacylglycerol kinase	diacylglycerol kinase
NGFG_02022	gshB	Nmen_FA1090_fromgene	NMB1559	NGO_1217	glutathione synthetase	glutathione synthase	glutathione synthase
NGFG_02023			NMB1560	NGO_1218	glutaminyl-tRNA synthetase	glutamine--tRNA ligase/YqeY domain fusion protein	glutamine--tRNA ligase/YqeY domain fusion protein
NGFG_02024			NMB1561	NGO_1219	DeoR family transcriptional regulator%2C glycerol-3-phosphate regulon repressor	DeoR/GlpR transcriptional regulator	DeoR/GlpR transcriptional regulator
NGFG_02025			NMB1562	NGO_1220	hypothetical protein	lysine exporter LysO family protein	lysine exporter LysO family protein
NGFG_02027			NMB1563	NGO_1221	GntR family transcriptional regulator	GntR family transcriptional regulator	GntR family transcriptional regulator
NGFG_02029			NMB1564	NGO_1222	OsmC family redox protein	OsmC family protein	OsmC family protein
NGFG_02030			NMB1565	NGO_1223	hypothetical protein	DUF3108 domain-containing protein	DUF3108 domain-containing protein
NGFG_02031			NMB1566	NGO_1224	phosphoribosylglycinamide formyltransferase	phosphoribosylglycinamide formyltransferase	phosphoribosylglycinamide formyltransferase
NGFG_02032			NMB1567	NGO_1225	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA	FKBP-type peptidyl-prolyl cis-trans isomerase	FKBP-type peptidyl-prolyl cis-trans isomerase
NGFG_02033	chi	Nmen_FA1090_fromproduct	NMB1568	NGO_1226	DNA polymerase III subunit chi	DNA polymerase III subunit chi	DNA polymerase III subunit chi
NGFG_02034			NMB1569	NGO_1227	aminopeptidase A	leucyl aminopeptidase	leucyl aminopeptidase
NGFG_02035	lptF	Nmen_FA1090_fromgene	NMB1570	NGO_1228	lipopolysaccharide exporter permease	LPS export ABC transporter permease LptF	LPS export ABC transporter permease LptF
NGFG_02036	lptG	Nmen_FA1090_fromgene	NMB1571	NGO_1229	lipopolysaccharide exporter permease	LPS export ABC transporter permease LptG	LPS export ABC transporter permease LptG
NGFG_02037	acnB	Nmen_FA1090_fromgene	NMB1572	NGO_1231	aconitate hydratase 2	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
NGFG_02038			NMB1573	NGO_1232	ornithine carbamoyltransferase	ornithine carbamoyltransferase	ornithine carbamoyltransferase
NGFG_02039	ilvC	Nmen_FA1090_fromgene	NMB1574	NGO_1233	ketol-acid reductoisomerase	ketol-acid reductoisomerase	ketol-acid reductoisomerase
NGFG_02040			NMB1575	NGO_1234	hypothetical protein	antibiotic biosynthesis monooxygenase	antibiotic biosynthesis monooxygenase
NGFG_02041	ilvN	Nmen_FA1090_fromgene	NMB1576	NGO_1235	acetolactate synthase%2C small subunit	acetolactate synthase small subunit	acetolactate synthase small subunit
NGFG_02042	ilvB	Nmen_FA1090_fromgene	NMB1577	NGO_1236	acetolactate synthase%2C large subunit%2C biosynthetic type	biosynthetic-type acetolactate synthase large subunit	biosynthetic-type acetolactate synthase large subunit
NGFG_06025			NMBt40	NGO_t23	tRNA-Leu	tRNA-Leu	tRNA-Leu
NGFG_02043			NMB1578	NGO_1237	lipoprotein	SCO family protein	SCO family protein
NGFG_02044			NMB1579	NGO_1238	ATP phosphoribosyltransferase	ATP phosphoribosyltransferase	ATP phosphoribosyltransferase
NGFG_02045			NMB1580	NGO_1239	hypothetical protein	endonuclease	endonuclease
NGFG_02046	hisD	Nmen_FA1090_fromgene	NMB1581	NGO_1240	histidinol dehydrogenase	histidinol dehydrogenase	histidinol dehydrogenase
NGFG_02047			NMB1582	NGO_1241	histidinol-phosphate aminotransferase	histidinol-phosphate transaminase	histidinol-phosphate transaminase
NGFG_02048	hisB	Nmen_FA1090_fromgene	NMB1583	NGO_1242	imidazoleglycerol-phosphate dehydratase	imidazoleglycerol-phosphate dehydratase HisB	imidazoleglycerol-phosphate dehydratase HisB
NGFG_02049			NMB1584	NGO_1243	3-hydroxyisobutyrate dehydrogenase	NAD(P)-dependent oxidoreductase	NAD(P)-dependent oxidoreductase
NGFG_02050			NMB1584	NGO_1243	hypothetical protein	NAD(P)-dependent oxidoreductase	NAD(P)-dependent oxidoreductase
NGFG_02051			NMB1585	NGO_1244	MarR family transcriptional regulator	winged helix-turn-helix transcriptional regulator	MarR family transcriptional regulator
NGFG_02052			NMB1586	NGO_1245	hypothetical protein	membrane protein	ABC transporter six-transmembrane domain-containing protein
NGFG_02053	sohB	Nmen_FA1090_fromgene	NMB1587	NGO_1246	signal peptide peptidase SppA%2C 36K type	protease SohB	protease SohB
NGFG_06026			NMBt41	NGO_t24	tRNA-Leu	tRNA-Leu	tRNA-Leu
NGFG_06027			NMBt42	NGO_t25	tRNA-Cys	tRNA-Cys	tRNA-Cys
NGFG_06028			NMBt43	NGO_t26	tRNA-Gly	tRNA-Gly	tRNA-Gly
NGFG_06029			NMBt43	NGO_t26	tRNA-Gly	tRNA-Gly	tRNA-Gly
NGFG_06030			NMBt43	NGO_t26	tRNA-Gly	tRNA-Gly	tRNA-Gly
NGFG_02054	pgsA	Nmen_FA1090_fromgene	NMB1588	NGO_1247	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NGFG_02055				NGO_1248	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02056			NMB1590	NGO_1249	4-carboxymuconolactone decarboxylase	carboxymuconolactone decarboxylase family protein	carboxymuconolactone decarboxylase family protein
NGFG_02057	mtrA	Nmen_FA1090_fromgene	NMB1591	NGO_1250	transcriptional regulator MtrA	efflux transporter MtrCDE transcriptional activator MtrA	efflux transporter MtrCDE transcriptional activator MtrA
NGFG_02058			NMB1592	NGO_1251	hypothetical protein	lipoprotein	membrane lipoprotein lipid attachment site-containing protein
NGFG_02396			NMB1593	NGO_1252	hypothetical protein	DMT family transporter	DMT family transporter
NGFG_02061			NMB1594	NGO_1253	putrescine ABC transporter substrate-binding protein	polyamine ABC transporter substrate-binding protein	polyamine ABC transporter substrate-binding protein
NGFG_02062	alaS	Nmen_FA1090_fromgene	NMB1595	NGO_1254	alanyl-tRNA synthetase	alanine--tRNA ligase	alanine--tRNA ligase
NGFG_02397			NMB1411	NGO_0673	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_02065			NMB1604	NGO_1258	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase	2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase	2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase
NGFG_02066	parC	Nmen_FA1090_fromgene	NMB1605	NGO_1259	DNA topoisomerase 4 subunit A	DNA topoisomerase IV subunit A	DNA topoisomerase IV subunit A
NGFG_02067			NMB1606	NGO_1260	two-component system%2C NtrC family%2C sensor kinase PilS	sensor histidine kinase	sigma-54-dependent Fis family transcriptional regulator
NGFG_02068			NMB1608	NGO_1261	UPF0341 protein in rsp 3'region	class I SAM-dependent methyltransferase	class I SAM-dependent methyltransferase
NGFG_02398				NGO_1137	hypothetical protein		IS110 family transposase
NGFG_02399				NGO_06650	phage protein		hypothetical protein
NGFG_02400			NMB1749	NGO_1263	phage protein	zonular occludens toxin domain-containing protein	hypothetical protein
NGFG_02401			NMB1748	NGO_1264	phage protein	DUF2523 domain-containing protein	DUF2523 domain-containing protein
NGFG_02402	tspB	Nmen_FA1090_fromproduct	NMB1747	NGO_1140	TspB-like protein	T cell/B cell stimulating protein TspB	T cell/B cell stimulating protein TspB
NGFG_02403			NMB0481	NGO_1141	hypothetical protein	DUF1132 family protein	DUF1132 family protein
NGFG_02404			NMB0482	NGO_1142	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02196			NMB0484	NGO_1169	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02197			NMB0485	NGO_1170	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02198			NMB0486		replication initiation factor	replication initiation factor domain-containing protein	replication initiation factor
NGFG_02151			NMB1619	NGO_1273	hypothetical protein	HIT domain-containing protein	HIT domain-containing protein
NGFG_02152			NMB1620	NGO_1274	muramoyltetrapeptide carboxypeptidase	LD-carboxypeptidase	LD-carboxypeptidase
NGFG_02153			NMB1622	NGO_1275	nitric oxide reductase subunit B	nitric-oxide reductase large subunit	nitric-oxide reductase large subunit
NGFG_02154	nirK	Nmen_FA1090_fromgene	NMB1623	NGO_1276	copper-containing nitrite reductase	nitrite reductase%2C copper-containing	nitrite reductase%2C copper-containing
NGFG_02155			NMB1624	NGO_1277	formylglycine-generating sulfatase enzyme	formylglycine-generating enzyme family protein	formylglycine-generating enzyme family protein
NGFG_02405	pilE	Nmen_fromgene	NMB0018	NGO_11165	pilin pilS5	fimbrial major subunit PilE	pilin
NGFG_02406			NMB1465	NGO_06725	opacity protein	outer membrane beta-barrel protein	outer membrane beta-barrel protein
NGFG_02156			NMB1637	NGO_1279	nitroreductase	nitroreductase family protein	nitroreductase family protein
NGFG_02157	lptA	Nmen_fromproduct	NMB1638	NGO_06735	sulfatase	lipooligosaccharide phosphoethanolamine transferase LptA	phosphoethanolamine--lipid A transferase
NGFG_02407	serC	Nmen_FA1090_fromgene	NMB1640	NGO_1283	phosphoserine aminotransferase	phosphoserine transaminase	phosphoserine transaminase
NGFG_02160	rimP	Nmen_FA1090_fromgene	NMB1641	NGO_1284	ribosome maturation factor RimP	ribosome maturation factor RimP	ribosome maturation factor RimP
NGFG_02161	nusA	Nmen_FA1090_fromgene	NMB1642	NGO_1285	transcription termination factor NusA	transcription termination/antitermination protein NusA	transcription termination/antitermination protein NusA
NGFG_02162	infB	Nmen_FA1090_fromgene	NMB1643	NGO_1286	translation initiation factor IF-2	translation initiation factor IF-2	translation initiation factor IF-2
NGFG_02163			NMB1644	NGO_1287	GTP-binding protein	GTPase/DUF3482 domain-containing protein	GTPase/DUF3482 domain-containing protein
NGFG_02164			NMB1645	NGO_1288	hypothetical protein	DUF2868 domain-containing protein	DUF2868 domain-containing protein
NGFG_02165			NMB1646	NGO_1289	hemolysin III family channel protein	hemolysin III family protein	hemolysin III family protein
NGFG_02166			NMB1647	NGO_1290	sodium:alanine symporter	sodium:alanine symporter family protein	sodium:alanine symporter family protein
NGFG_02167			NMB1648	NGO_1291	UPF0082 protein	YebC/PmpR family DNA-binding transcriptional regulator	YebC/PmpR family DNA-binding transcriptional regulator
NGFG_02168			NMB1649	NGO_1292		disulfide bond formation protein B	disulfide bond formation protein B
NGFG_02170			NMB1650	NGO_1294	lrp/AsnC family transcriptional regulator%2C leucine-responsive regulatory protein	Lrp/AsnC ligand binding domain-containing protein	Lrp/AsnC ligand binding domain-containing protein
NGFG_02171	alr	Nmen_FA1090_fromgene	NMB1651	NGO_1295	alanine racemase	alanine racemase	alanine racemase
NGFG_02173			NMB1652	NGO_1297	UPF0210 protein	PFL family protein	PFL family protein
NGFG_02174			NMB1653	NGO_1298	ACT protein	ACT domain-containing protein	ACT domain-containing protein
NGFG_02175			NMB1654	 | NGO_1299 | 	hypothetical protein	toxin-antitoxin system YwqK family antitoxin	 | toxin-antitoxin system YwqK family antitoxin | toxin-antitoxin system YwqK family antitoxin
NGFG_02176	prmB	Nmen_FA1090_fromgene	NMB1655	NGO_1300	protein-(glutamine-N5) methyltransferase%2C ribosomal protein L3-specific	50S ribosomal protein L3 N(5)-glutamine methyltransferase	50S ribosomal protein L3 N(5)-glutamine methyltransferase
NGFG_02177			NMB1656	NGO1301		hypothetical protein	hypothetical protein
NGFG_02408			NMB1411	NGO_0673	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_02244				NGO_06860	phage protein	Caudovirus prohead protease	hypothetical protein
NGFG_02409			NMB0299	NGO_1178	comEA protein	helix-hairpin-helix domain-containing protein	helix-hairpin-helix domain-containing protein
NGFG_06031	rrf	Nmen_FA1090_fromgene	NMrrnaA5S	NGO_r01	5S ribosomal RNA	5S ribosomal RNA	5S ribosomal RNA
NGFG_06032	rNA	Nmen_FA1090_fromproduct	NMrrnaA23S	NGO_r08	23S ribosomal RNA	23S ribosomal RNA	23S ribosomal RNA
NGFG_06033			NMBt03	NGO_t29	tRNA-Ala	tRNA-Ala	tRNA-Ala
NGFG_06034			NMBt02	NGO_t30	tRNA-Ile	tRNA-Ile	tRNA-Ile
NGFG_06035	rNA	Nmen_FA1090_fromproduct	NMrrnaA16S	NGO_r03	16S ribosomal RNA	16S ribosomal RNA	16S ribosomal RNA
NGFG_01611			NMB1658	NGO_1307	phosphopantothenoylcysteine decarboxylase/phosphopantothenate-cysteine ligase	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
NGFG_01610			NMB1659	NGO_1308	RelA/SpoT family protein	bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase	bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase
NGFG_01609			NMB1660	NGO_1309	DNA-directed RNA polymerase subunit omega	DNA-directed RNA polymerase subunit omega	DNA-directed RNA polymerase subunit omega
NGFG_01608	gmk	Nmen_FA1090_fromgene	NMB1661	NGO_1310	guanylate kinase	guanylate kinase	guanylate kinase
NGFG_01607			NMB1662	NGO_1311	adenine phosphoribosyltransferase	adenine phosphoribosyltransferase	adenine phosphoribosyltransferase
NGFG_01606			NMB1663	NGO_1312	HAD hydrolase	Cof-type HAD-IIB family hydrolase	Cof-type HAD-IIB family hydrolase
NGFG_01605	yegQ	Nmen_FA1090_fromproduct	NMB1664	NGO_1314	protease	tRNA 5-hydroxyuridine modification protein YegQ	tRNA 5-hydroxyuridine modification protein YegQ
NGFG_01604				NGO_1315		excinuclease	hypothetical protein
NGFG_01603				NGO_1315	hypothetical protein	excinuclease	hypothetical protein
NGFG_01602	hmbR	Nmen_fromgene	NMB1668		hemoglobin receptor	TonB-dependent hemoglobin receptor HmbR	TonB-dependent receptor
NGFG_01601	hmbR	Nmen_fromgene	NMB1668		hemoglobin/transferrin/lactoferrin receptor protein	TonB-dependent hemoglobin receptor HmbR	TonB-dependent receptor
NGFG_01600	hmbR	Nmen_fromgene	NMB1668		hemoglobin receptor	TonB-dependent hemoglobin receptor HmbR	TonB-dependent receptor plug domain-containing protein
NGFG_02410			NMB1411	NGO_0528	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_01599			NMB1669	NGO_1318	heme oxygenase	biliverdin-producing heme oxygenase	biliverdin-producing heme oxygenase
NGFG_01598			NMB1670	NGO_1319	paraquat-inducible protein PqiA	paraquat-inducible protein A	paraquat-inducible protein A
NGFG_01597	pqiB	Nmen_FA1090_fromgene	NMB1671	NGO_1320	paraquat-inducible protein B	intermembrane transport protein PqiB	intermembrane transport protein PqiB
NGFG_01596	pqiC	Nmen_FA1090_fromproduct	NMB1672	NGO_1321	hypothetical protein	membrane integrity-associated transporter subunit PqiC	membrane integrity-associated transporter subunit PqiC
NGFG_01595			NMB1673	NGO_1322	DNA-3-methyladenine glycosylase I	DNA-3-methyladenine glycosylase I	DNA-3-methyladenine glycosylase I
NGFG_01594			NMB1674	NGO_1323	GDSL lipase/acylhydrolase	arylesterase	arylesterase
NGFG_01593			NMB1675	NGO_1324	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01592	gcvP	Nmen_FA1090_fromgene	NMB1676	NGO_1325	glycine dehydrogenase [decarboxylating]	aminomethyl-transferring glycine dehydrogenase	aminomethyl-transferring glycine dehydrogenase
NGFG_02411			NMB1736	NGO_00200	hypothetical protein	IS630 family transposase	transposase
NGFG_02412			NMB1386		hypothetical protein	hypothetical protein	transposase
NGFG_01591			NMB1677	NGO_1328	cytochrome c	cytochrome c5 family protein	cytochrome c5 family protein
NGFG_06036			NMBt50	NGO_t31	tRNA-Arg	tRNA-Arg	tRNA-Arg
NGFG_01590			NMB1678	NGO_1329	aromatic-amino-acid transaminase	aspartate/tyrosine/aromatic aminotransferase	aspartate/tyrosine/aromatic aminotransferase
NGFG_01589	trmA	Nmen_FA1090_fromgene	NMB1679	NGO_1330	tRNA (uracil-5-)-methyltransferase	tRNA (uridine(54)-C5)-methyltransferase TrmA	tRNA (uridine(54)-C5)-methyltransferase TrmA
NGFG_01588	aroC	Nmen_FA1090_fromgene	NMB1680	NGO_1331	chorismate synthase	chorismate synthase	chorismate synthase
NGFG_01587	proQ	Nmen_FA1090_fromproduct	NMB1681	NGO_1332	hypothetical protein	osmoprotectant transport activator ProQ	osmoprotectant transport activator ProQ
NGFG_01586	parE	Nmen_fromgene	NMB1682	NGO_1333	DNA topoisomerase IV%2C B subunit	DNA topoisomerase IV subunit B	type IIA DNA topoisomerase subunit B
NGFG_01585			NMB1683	NGO_1334	dinucleoside polyphosphate hydrolase	RNA pyrophosphohydrolase	RNA pyrophosphohydrolase
NGFG_01584	serS	Nmen_FA1090_fromgene	NMB1684	NGO_1335	seryl-tRNA synthetase	serine--tRNA ligase	serine--tRNA ligase
NGFG_01583			NMB1685	NGO_1336	D-lactate dehydrogenase	2-hydroxyacid dehydrogenase	2-hydroxyacid dehydrogenase
NGFG_01582	prfA	Nmen_FA1090_fromgene	NMB1686	NGO_1337	peptide chain release factor 1	peptide chain release factor 1	peptide chain release factor 1
NGFG_01581			NMB1687	NGO_1338	TatD family hydrolase	TatD family hydrolase	TatD family hydrolase
NGFG_01580			NMB1688	NGO_1339	L-asparaginase	asparaginase	asparaginase
NGFG_01579			NMB1689	NGO_1340	dedA family membrane protein	DedA family protein	DedA family protein
NGFG_01578	glmM	Nmen_FA1090_fromgene	NMB1690	NGO_1341	phosphoglucosamine mutase	phosphoglucosamine mutase	phosphoglucosamine mutase
NGFG_01577	folP	Nmen_FA1090_fromgene	NMB1691	NGO_1342	dihydropteroate synthase	dihydropteroate synthase	dihydropteroate synthase
NGFG_01576			NMB1692	NGO_1343	hypothetical protein	chorismate mutase	chorismate mutase
NGFG_01575			NMB1693	NGO_1344	AsmA-like protein	AsmA family protein	AsmA family protein
