locustag_in_Ngo	name_in_Ngo	type_in_Ngo	product_in_Ngo	gene_in_Nmen	locustag_in_Nmen	type_in_Nmen	product_in_Nmen
NGFG_01993	NGFG_01993	gene	magnesium transporter	mgtE	NMB1999	gene	magnesium transporter
NGFG_01994	NGFG_01994	gene	hsp33-like protein	hslO	NMB2000	gene	Hsp33 family molecular chaperone HslO
NGFG_01996	NGFG_01996	gene	outer membrane protein		NMB2001	gene	C40 family peptidase
NGFG_01997	NGFG_01997	gene	hypothetical protein		NMB2002	gene	hypothetical protein
NGFG_01999	NGFG_01999	gene	holin-like protein		NMB2003	gene	CidA/LrgA family protein
NGFG_02000	NGFG_02000	gene	LrgB family protein		NMB2004	gene	LrgB family protein
NGFG_02001	NGFG_02001	gene	arginine biosynthesis ArgJ	argJ	NMB2005	gene	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
NGFG_02002	NGFG_02002	gene	chloride channel protein		NMB2006	gene	chloride channel protein
NGFG_02003	NGFG_02003	gene	ATP-dependent helicase HrpA	hrpA	NMB2007	gene	ATP-dependent RNA helicase HrpA
NGFG_02004	NGFG_02004	gene	hypothetical protein				
NGFG_02005	NGFG_02005	gene	sulfatase	lpt3	NMB2010	gene	lipooligosaccharide phosphoethanolamine transferase
NGFG_02006	NGFG_02006	gene	ATP-dependent helicase HrpA		NMB2011	gene	DUF3418 domain-containing protein
NGFG_02393	NGFG_02393	gene	hypothetical protein				
NGFG_02248	NGFG_02248	gene	hypothetical protein	trpD	NMB0967	gene	anthranilate phosphoribosyltransferase
NGFG_02394	NGFG_02394	gene	transposase		NMB0919	gene	IS5 family transposase
NGFG_02007	NGFG_02007	gene	anthranilate phosphoribosyltransferase	trpD	NMB0967	gene	anthranilate phosphoribosyltransferase
NGFG_02008	NGFG_02008	gene	anthranilate synthase component II		NMB0966	gene	aminodeoxychorismate/anthranilate synthase component II
NGFG_02010	NGFG_02010	gene	TonB-dependent receptor		NMB0964	gene	TonB-dependent receptor
NGFG_02011	NGFG_02011	gene	phosphatidylserine decarboxylase proenzyme		NMB0963	gene	phosphatidylserine decarboxylase
NGFG_02012	NGFG_02012	gene	UvrABC system protein A	uvrA	NMB0962	gene	excinuclease ABC subunit UvrA
NGFG_02013	NGFG_02013	gene	restriction endonuclease				
NGFG_02014	NGFG_02014	gene	DNA (cytosine-5-)-methyltransferase				
NGFG_02015	NGFG_02015	gene	hypothetical protein				
NGFG_02395	NGFG_02395	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_02016	NGFG_02016	gene	CTP synthase		NMB1554	gene	CTP synthase
NGFG_02017	NGFG_02017	gene	long-chain acyl-CoA synthetase		NMB1555	gene	AMP-binding protein
NGFG_02018	NGFG_02018	gene	tRNA-specific 2-thiouridylase mnmA	mnmA	NMB1556	gene	tRNA 2-thiouridine(34) synthase MnmA
NGFG_02019	NGFG_02019	gene	hypothetical protein		NMB1557	gene	copper chaperone PCu(A)C
NGFG_02020	NGFG_02020	gene	diacylglycerol kinase		NMB1558	gene	diacylglycerol kinase
NGFG_02022	NGFG_02022	gene	glutathione synthetase	gshB	NMB1559	gene	glutathione synthase
NGFG_02023	NGFG_02023	gene	glutaminyl-tRNA synthetase		NMB1560	gene	glutamine--tRNA ligase/YqeY domain fusion protein
NGFG_02024	NGFG_02024	gene	DeoR family transcriptional regulator%2C glycerol-3-phosphate regulon repressor		NMB1561	gene	DeoR/GlpR transcriptional regulator
NGFG_02025	NGFG_02025	gene	hypothetical protein		NMB1562	gene	lysine exporter LysO family protein
NGFG_02027	NGFG_02027	gene	GntR family transcriptional regulator		NMB1563	gene	GntR family transcriptional regulator
NGFG_02029	NGFG_02029	gene	OsmC family redox protein		NMB1564	gene	OsmC family protein
NGFG_02030	NGFG_02030	gene	hypothetical protein		NMB1565	gene	DUF3108 domain-containing protein
NGFG_02031	NGFG_02031	gene	phosphoribosylglycinamide formyltransferase		NMB1566	gene	phosphoribosylglycinamide formyltransferase
NGFG_02032	NGFG_02032	gene	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA		NMB1567	gene	FKBP-type peptidyl-prolyl cis-trans isomerase
NGFG_02033	NGFG_02033	gene	DNA polymerase III subunit chi		NMB1568	gene	DNA polymerase III subunit chi
NGFG_02034	NGFG_02034	gene	aminopeptidase A		NMB1569	pseudogene	leucyl aminopeptidase
NGFG_02035	NGFG_02035	gene	lipopolysaccharide exporter permease	lptF	NMB1570	gene	LPS export ABC transporter permease LptF
NGFG_02036	NGFG_02036	gene	lipopolysaccharide exporter permease	lptG	NMB1571	gene	LPS export ABC transporter permease LptG
NGFG_02037	NGFG_02037	gene	aconitate hydratase 2	acnB	NMB1572	gene	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
NGFG_02038	NGFG_02038	gene	ornithine carbamoyltransferase		NMB1573	gene	ornithine carbamoyltransferase
NGFG_02039	NGFG_02039	gene	ketol-acid reductoisomerase	ilvC	NMB1574	gene	ketol-acid reductoisomerase
NGFG_02040	NGFG_02040	gene	hypothetical protein		NMB1575	gene	antibiotic biosynthesis monooxygenase
NGFG_02041	NGFG_02041	gene	acetolactate synthase%2C small subunit	ilvN	NMB1576	gene	acetolactate synthase small subunit
NGFG_02042	NGFG_02042	gene	acetolactate synthase%2C large subunit%2C biosynthetic type	ilvB	NMB1577	gene	biosynthetic-type acetolactate synthase large subunit
NGFG_06025	NGFG_06025	tRNA	tRNA-Leu		NMBt40	tRNA	tRNA-Leu
NGFG_02043	NGFG_02043	gene	lipoprotein		NMB1578	gene	SCO family protein
NGFG_02044	NGFG_02044	gene	ATP phosphoribosyltransferase		NMB1579	gene	ATP phosphoribosyltransferase
NGFG_02045	NGFG_02045	gene	hypothetical protein		NMB1580	gene	endonuclease
NGFG_02046	NGFG_02046	gene	histidinol dehydrogenase	hisD	NMB1581	gene	histidinol dehydrogenase
NGFG_02047	NGFG_02047	gene	histidinol-phosphate aminotransferase		NMB1582	gene	histidinol-phosphate transaminase
NGFG_02048	NGFG_02048	gene	imidazoleglycerol-phosphate dehydratase	hisB	NMB1583	gene	imidazoleglycerol-phosphate dehydratase HisB
NGFG_02049	NGFG_02049	gene	3-hydroxyisobutyrate dehydrogenase		NMB1584	gene	NAD(P)-dependent oxidoreductase
NGFG_02050	NGFG_02050	gene	hypothetical protein		NMB1584	gene	NAD(P)-dependent oxidoreductase
NGFG_02051	NGFG_02051	gene	MarR family transcriptional regulator		NMB1585	gene	winged helix-turn-helix transcriptional regulator
NGFG_02052	NGFG_02052	gene	hypothetical protein		NMB1586	gene	membrane protein
NGFG_02053	NGFG_02053	gene	signal peptide peptidase SppA%2C 36K type	sohB	NMB1587	gene	protease SohB
NGFG_06026	NGFG_06026	tRNA	tRNA-Leu		NMBt41	tRNA	tRNA-Leu
NGFG_06027	NGFG_06027	tRNA	tRNA-Cys		NMBt42	tRNA	tRNA-Cys
NGFG_06028	NGFG_06028	tRNA	tRNA-Gly		NMBt43	tRNA	tRNA-Gly
NGFG_06029	NGFG_06029	tRNA	tRNA-Gly		NMBt43	tRNA	tRNA-Gly
NGFG_06030	NGFG_06030	tRNA	tRNA-Gly		NMBt43	tRNA	tRNA-Gly
NGFG_02054	NGFG_02054	gene	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	pgsA	NMB1588	gene	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NGFG_02055	NGFG_02055	gene	hypothetical protein			pseudogene	hypothetical protein
NGFG_02056	NGFG_02056	gene	4-carboxymuconolactone decarboxylase		NMB1590	gene	carboxymuconolactone decarboxylase family protein
NGFG_02057	NGFG_02057	gene	transcriptional regulator MtrA	mtrA	NMB1591	gene	efflux transporter MtrCDE transcriptional activator MtrA
NGFG_02058	NGFG_02058	gene	hypothetical protein		NMB1592	gene	lipoprotein
NGFG_02396	NGFG_02396	gene	hypothetical protein		NMB1593	gene	DMT family transporter
NGFG_02061	NGFG_02061	gene	putrescine ABC transporter substrate-binding protein		NMB1594	gene	polyamine ABC transporter substrate-binding protein
NGFG_02062	NGFG_02062	gene	alanyl-tRNA synthetase	alaS	NMB1595	gene	alanine--tRNA ligase
NGFG_02397	NGFG_02397	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_02065	NGFG_02065	gene	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase		NMB1604	gene	2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase
NGFG_02066	NGFG_02066	gene	DNA topoisomerase 4 subunit A	parC	NMB1605	gene	DNA topoisomerase IV subunit A
NGFG_02067	NGFG_02067	gene	two-component system%2C NtrC family%2C sensor kinase PilS		NMB1606	gene	sensor histidine kinase
NGFG_02068	NGFG_02068	gene	UPF0341 protein in rsp 3'region		NMB1608	gene	class I SAM-dependent methyltransferase
NGFG_02398	NGFG_02398	gene	hypothetical protein				
NGFG_02399	NGFG_02399	gene	phage protein				
NGFG_02400	NGFG_02400	gene	phage protein		NMB1749	gene	zonular occludens toxin domain-containing protein
NGFG_02401	NGFG_02401	gene	phage protein		NMB1748	gene	DUF2523 domain-containing protein
NGFG_02402	NGFG_02402	gene	TspB-like protein		NMB1747	gene	T cell/B cell stimulating protein TspB
NGFG_02403	NGFG_02403	gene	hypothetical protein		NMB0481	gene	DUF1132 family protein
NGFG_02404	NGFG_02404	gene	hypothetical protein		NMB0482	gene	hypothetical protein
NGFG_02196	NGFG_02196	gene	hypothetical protein		NMB0484	gene	hypothetical protein
NGFG_02197	NGFG_02197	gene	hypothetical protein		NMB0485	gene	hypothetical protein
NGFG_02198	NGFG_02198	gene	replication initiation factor		NMB0486	gene	replication initiation factor domain-containing protein
NGFG_02151	NGFG_02151	gene	hypothetical protein		NMB1619	gene	HIT domain-containing protein
NGFG_02152	NGFG_02152	gene	muramoyltetrapeptide carboxypeptidase		NMB1620	gene	LD-carboxypeptidase
NGFG_02153	NGFG_02153	gene	nitric oxide reductase subunit B		NMB1622	gene	nitric-oxide reductase large subunit
NGFG_02154	NGFG_02154	gene	copper-containing nitrite reductase	nirK	NMB1623	gene	nitrite reductase%2C copper-containing
NGFG_02155	NGFG_02155	gene	formylglycine-generating sulfatase enzyme		NMB1624	gene	formylglycine-generating enzyme family protein
NGFG_02405	NGFG_02405	gene	pilin pilS5	pilE	NMB0018	gene	fimbrial major subunit PilE
NGFG_02406	NGFG_02406	gene	opacity protein		NMB1465	pseudogene	outer membrane beta-barrel protein
NGFG_02156	NGFG_02156	gene	nitroreductase		NMB1637	gene	nitroreductase family protein
NGFG_02157	NGFG_02157	gene	sulfatase		NMB1638	gene	lipooligosaccharide phosphoethanolamine transferase LptA
NGFG_02407	NGFG_02407	gene	phosphoserine aminotransferase	serC	NMB1640	gene	phosphoserine transaminase
NGFG_02160	NGFG_02160	gene	ribosome maturation factor RimP	rimP	NMB1641	gene	ribosome maturation factor RimP
NGFG_02161	NGFG_02161	gene	transcription termination factor NusA	nusA	NMB1642	gene	transcription termination/antitermination protein NusA
NGFG_02162	NGFG_02162	gene	translation initiation factor IF-2	infB	NMB1643	gene	translation initiation factor IF-2
NGFG_02163	NGFG_02163	gene	GTP-binding protein		NMB1644	gene	GTPase/DUF3482 domain-containing protein
NGFG_02164	NGFG_02164	gene	hypothetical protein		NMB1645	gene	DUF2868 domain-containing protein
NGFG_02165	NGFG_02165	gene	hemolysin III family channel protein		NMB1646	gene	hemolysin III family protein
NGFG_02166	NGFG_02166	gene	sodium:alanine symporter		NMB1647	gene	sodium:alanine symporter family protein
NGFG_02167	NGFG_02167	gene	UPF0082 protein		NMB1648	gene	YebC/PmpR family DNA-binding transcriptional regulator
NGFG_02168	NGFG_02168	pseudogene			NMB1649	gene	disulfide bond formation protein B
NGFG_02170	NGFG_02170	gene	lrp/AsnC family transcriptional regulator%2C leucine-responsive regulatory protein		NMB1650	gene	Lrp/AsnC ligand binding domain-containing protein
NGFG_02171	NGFG_02171	gene	alanine racemase	alr	NMB1651	gene	alanine racemase
NGFG_02173	NGFG_02173	gene	UPF0210 protein		NMB1652	gene	PFL family protein
NGFG_02174	NGFG_02174	gene	ACT protein		NMB1653	gene	ACT domain-containing protein
NGFG_02175	NGFG_02175	gene	hypothetical protein		NMB1654	gene	toxin-antitoxin system YwqK family antitoxin
NGFG_02176	NGFG_02176	gene	protein-(glutamine-N5) methyltransferase%2C ribosomal protein L3-specific	prmB	NMB1655	gene	50S ribosomal protein L3 N(5)-glutamine methyltransferase
NGFG_02177	NGFG_02177	pseudogene			NMB1656	gene	hypothetical protein
NGFG_02408	NGFG_02408	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_02244	NGFG_02244	gene	phage protein			pseudogene	Caudovirus prohead protease
NGFG_02409	NGFG_02409	gene	comEA protein		NMB0299	gene	helix-hairpin-helix domain-containing protein
NGFG_06031	NGFG_06031	rRNA	5S ribosomal RNA	rrf	NMrrnaA5S	rRNA	5S ribosomal RNA
NGFG_06032	NGFG_06032	rRNA	23S ribosomal RNA		NMrrnaA23S	rRNA	23S ribosomal RNA
NGFG_06033	NGFG_06033	tRNA	tRNA-Ala		NMBt03	tRNA	tRNA-Ala
NGFG_06034	NGFG_06034	tRNA	tRNA-Ile		NMBt02	tRNA	tRNA-Ile
NGFG_06035	NGFG_06035	rRNA	16S ribosomal RNA		NMrrnaA16S	rRNA	16S ribosomal RNA
NGFG_01611	NGFG_01611	gene	phosphopantothenoylcysteine decarboxylase/phosphopantothenate-cysteine ligase		NMB1658	gene	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
NGFG_01610	NGFG_01610	gene	RelA/SpoT family protein		NMB1659	gene	bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase
NGFG_01609	NGFG_01609	gene	DNA-directed RNA polymerase subunit omega		NMB1660	gene	DNA-directed RNA polymerase subunit omega
NGFG_01608	NGFG_01608	gene	guanylate kinase	gmk	NMB1661	gene	guanylate kinase
NGFG_01607	NGFG_01607	gene	adenine phosphoribosyltransferase		NMB1662	gene	adenine phosphoribosyltransferase
NGFG_01606	NGFG_01606	gene	HAD hydrolase		NMB1663	gene	Cof-type HAD-IIB family hydrolase
NGFG_01605	NGFG_01605	gene	protease		NMB1664	gene	tRNA 5-hydroxyuridine modification protein YegQ
NGFG_01604	NGFG_01604	pseudogene				pseudogene	excinuclease
NGFG_01603	NGFG_01603	gene	hypothetical protein			pseudogene	excinuclease
NGFG_01602	NGFG_01602	gene	hemoglobin receptor	hmbR	NMB1668	gene	TonB-dependent hemoglobin receptor HmbR
NGFG_01601	NGFG_01601	gene	hemoglobin/transferrin/lactoferrin receptor protein	hmbR	NMB1668	gene	TonB-dependent hemoglobin receptor HmbR
NGFG_01600	NGFG_01600	gene	hemoglobin receptor	hmbR	NMB1668	gene	TonB-dependent hemoglobin receptor HmbR
NGFG_02410	NGFG_02410	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_01599	NGFG_01599	gene	heme oxygenase		NMB1669	gene	biliverdin-producing heme oxygenase
NGFG_01598	NGFG_01598	gene	paraquat-inducible protein PqiA		NMB1670	gene	paraquat-inducible protein A
NGFG_01597	NGFG_01597	gene	paraquat-inducible protein B	pqiB	NMB1671	gene	intermembrane transport protein PqiB
NGFG_01596	NGFG_01596	gene	hypothetical protein		NMB1672	gene	membrane integrity-associated transporter subunit PqiC
NGFG_01595	NGFG_01595	gene	DNA-3-methyladenine glycosylase I		NMB1673	gene	DNA-3-methyladenine glycosylase I
NGFG_01594	NGFG_01594	gene	GDSL lipase/acylhydrolase		NMB1674	gene	arylesterase
NGFG_01593	NGFG_01593	gene	hypothetical protein		NMB1675	gene	hypothetical protein
NGFG_01592	NGFG_01592	gene	glycine dehydrogenase [decarboxylating]	gcvP	NMB1676	pseudogene	aminomethyl-transferring glycine dehydrogenase
NGFG_02411	NGFG_02411	gene	hypothetical protein		NMB1736	gene	IS630 family transposase
NGFG_02412	NGFG_02412	gene	hypothetical protein		NMB1386	pseudogene	hypothetical protein
NGFG_01591	NGFG_01591	gene	cytochrome c		NMB1677	gene	cytochrome c5 family protein
NGFG_06036	NGFG_06036	tRNA	tRNA-Arg		NMBt50	tRNA	tRNA-Arg
NGFG_01590	NGFG_01590	gene	aromatic-amino-acid transaminase		NMB1678	gene	aspartate/tyrosine/aromatic aminotransferase
NGFG_01589	NGFG_01589	gene	tRNA (uracil-5-)-methyltransferase	trmA	NMB1679	gene	tRNA (uridine(54)-C5)-methyltransferase TrmA
NGFG_01588	NGFG_01588	gene	chorismate synthase	aroC	NMB1680	gene	chorismate synthase
NGFG_01587	NGFG_01587	gene	hypothetical protein		NMB1681	gene	osmoprotectant transport activator ProQ
NGFG_01586	NGFG_01586	gene	DNA topoisomerase IV%2C B subunit	parE	NMB1682	gene	DNA topoisomerase IV subunit B
NGFG_01585	NGFG_01585	gene	dinucleoside polyphosphate hydrolase		NMB1683	gene	RNA pyrophosphohydrolase
NGFG_01584	NGFG_01584	gene	seryl-tRNA synthetase	serS	NMB1684	gene	serine--tRNA ligase
NGFG_01583	NGFG_01583	gene	D-lactate dehydrogenase		NMB1685	gene	2-hydroxyacid dehydrogenase
NGFG_01582	NGFG_01582	gene	peptide chain release factor 1	prfA	NMB1686	gene	peptide chain release factor 1
NGFG_01581	NGFG_01581	gene	TatD family hydrolase		NMB1687	gene	TatD family hydrolase
NGFG_01580	NGFG_01580	gene	L-asparaginase		NMB1688	gene	asparaginase
NGFG_01579	NGFG_01579	gene	dedA family membrane protein		NMB1689	gene	DedA family protein
NGFG_01578	NGFG_01578	gene	phosphoglucosamine mutase	glmM	NMB1690	gene	phosphoglucosamine mutase
NGFG_01577	NGFG_01577	gene	dihydropteroate synthase	folP	NMB1691	gene	dihydropteroate synthase
NGFG_01576	NGFG_01576	gene	hypothetical protein		NMB1692	gene	chorismate mutase
NGFG_01575	NGFG_01575	gene	AsmA-like protein		NMB1693	gene	AsmA family protein
NGFG_01574	NGFG_01574	gene	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	ubiD	NMB1694	gene	4-hydroxy-3-polyprenylbenzoate decarboxylase
NGFG_01573	NGFG_01573	gene	hypothetical protein		NMB1696a	gene	DUF2199 domain-containing protein
NGFG_01572	NGFG_01572	gene	hypothetical protein		NMB1696b	gene	membrane protein
NGFG_02413	NGFG_02413	gene	hypothetical protein				
NGFG_01571	NGFG_01571	gene	hypothetical protein		NMB1699	gene	beta-ketoacyl synthase chain length factor
NGFG_01569	NGFG_01569	gene	hypothetical protein		NMB1701	gene	hypothetical protein
NGFG_01568	NGFG_01568	gene	3-oxoacyl-[acyl-carrier-protein] reductase	fabG	NMB1702	gene	3-oxoacyl-ACP reductase FabG
NGFG_01567	NGFG_01567	gene	3-oxoacyl-[acyl-carrier-protein] synthase II		NMB1703	gene	beta-ketoacyl-ACP synthase
NGFG_06037	NGFG_06037	tRNA	tRNA-Met		NMBt51	tRNA	tRNA-Ile
NGFG_01566	NGFG_01566	gene	beta-1%2C4-glucosyltransferase LgtF		NMB1704	gene	glycosyltransferase family 2 protein
NGFG_01565	NGFG_01565	gene	lipopolysaccharide N-acetylglucosaminyltransferase		NMB1705	gene	glycosyltransferase family 4 protein
NGFG_01564	NGFG_01564	gene	NSS family neurotransmitter:Na+ symporter		NMB1707	gene	sodium-dependent transporter
NGFG_01563	NGFG_01563	pseudogene				pseudogene	FAD:protein FMN transferase
NGFG_01562	NGFG_01562	gene	thymidylate synthase		NMB1709	gene	thymidylate synthase
NGFG_01561	NGFG_01561	gene	glutamate dehydrogenase (NADP+)	gdhA	NMB1710	gene	NADP-specific glutamate dehydrogenase
NGFG_01560	NGFG_01560	gene	hypothetical protein				
NGFG_01559	NGFG_01559	gene	GntR family transcriptional regulator		NMB1711	gene	FadR family transcriptional regulator
NGFG_01558	NGFG_01558	gene	L-lactate permease-like protein		NMB1712	gene	L-lactate permease
NGFG_01556	NGFG_01556	gene	NodT family efflux transporter%2C outer membrane factor (OMF) lipoprotein	mtrE	NMB1714	gene	multidrug efflux transporter outer membrane subunit MtrE
NGFG_01555	NGFG_01555	gene	hydrophobe/amphiphile efflux-1 (HAE1) family RND transporter	mtrD	NMB1715	gene	multidrug efflux RND transporter permease subunit MtrD
NGFG_01554	NGFG_01554	gene	membrane fusion protein mtrC	mtrC	NMB1716	gene	multidrug efflux RND transporter periplasmic adaptor subunit MtrC
NGFG_01553	NGFG_01553	gene	TetR/AcrR family transcriptional regulator%2C acrAB operon repressor	mtrR	NMB1717	gene	multidrug efflux system transcriptional repressor MtrR
NGFG_01552	NGFG_01552	gene	hypothetical protein		NMB1718	gene	hypothetical protein
NGFG_01551	NGFG_01551	gene	AbgT transporter	mtrF	NMB1719	gene	AbgT family antimetabolite efflux transporter MtrF
NGFG_01550	NGFG_01550	gene	exodeoxyribonuclease V%2C gamma subunit	recC	NMB1720	gene	exodeoxyribonuclease V subunit gamma
NGFG_01549	NGFG_01549	gene	hypothetical protein		NMB1721	gene	PepSY domain-containing protein
NGFG_01548	NGFG_01548	gene	cytochrome c oxidase%2C cbb3-type%2C subunit III	ccoP	NMB1723	pseudogene	cytochrome-c oxidase%2C cbb3-type subunit III
NGFG_01547	NGFG_01547	gene	cytochrome c oxidase subunit		NMB1723a	gene	CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone
NGFG_01546	NGFG_01546	gene	cytochrome c oxidase%2C cbb3-type%2C subunit II	ccoO	NMB1724	gene	cytochrome-c oxidase%2C cbb3-type subunit II
NGFG_01545	NGFG_01545	gene	cytochrome c oxidase%2C cbb3-type%2C subunit I	ccoN	NMB1725	gene	cytochrome-c oxidase%2C cbb3-type subunit I
NGFG_02414	NGFG_02414	gene	hypothetical protein				
NGFG_01544	NGFG_01544	gene	M61 family glycyl aminopeptidase		NMB1726	gene	M61 family metallopeptidase
NGFG_01543	NGFG_01543	gene	hypothetical protein		NMB1727	gene	TIGR01244 family phosphatase
NGFG_01542	NGFG_01542	gene	biopolymer transporter exbD		NMB1728	gene	biopolymer transporter ExbD
NGFG_01541	NGFG_01541	gene	biopolymer transporter exbB		NMB1729	gene	TonB-system energizer ExbB
NGFG_01540	NGFG_01540	gene	protein tonB		NMB1730	gene	energy transducer TonB
NGFG_01539	NGFG_01539	gene	M50 family peptidase		NMB1731	gene	site-2 protease family protein
NGFG_01538	NGFG_01538	gene	GrxB family glutaredoxin	grxB	NMB1734	gene	glutaredoxin%2C GrxB family
NGFG_01537	NGFG_01537	gene	GTP pyrophosphokinase		NMB1735	gene	bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase
NGFG_01536	NGFG_01536	gene	hypothetical protein		NMB0370	gene	immunity 41 family protein
NGFG_02415	NGFG_02415	gene	hypothetical protein		NMB0368	gene	hypothetical protein
NGFG_02416	NGFG_02416	gene	hypothetical protein		NMB0369	pseudogene	pretoxin
NGFG_02203	NGFG_02203	gene	hypothetical protein				
NGFG_02204	NGFG_02204	gene	hypothetical protein				
NGFG_02205	NGFG_02205	gene	hypothetical protein		NMB0655	gene	HINT domain-containing protein
NGFG_02417	NGFG_02417	gene	hypothetical protein		NMB0373	gene	hypothetical protein
NGFG_01534	NGFG_01534	gene	MafB protein	mafB	NMB0374	gene	polymorphic toxin MafB class 1
NGFG_01533	NGFG_01533	gene	hypothetical protein				
NGFG_01532	NGFG_01532	gene	MafB protein		NMB0369	pseudogene	pretoxin
NGFG_01531	NGFG_01531	gene	hypothetical protein				
NGFG_02418	NGFG_02418	gene	hypothetical protein		NMB0655	gene	HINT domain-containing protein
NGFG_01530	NGFG_01530	pseudogene					
NGFG_01529	NGFG_01529	gene	hypothetical protein				
NGFG_01528	NGFG_01528	gene	hypothetical protein				
NGFG_01527	NGFG_01527	gene	hypothetical protein				
NGFG_01526	NGFG_01526	gene	hypothetical protein				
NGFG_02419	NGFG_02419	gene	MafB family adhesin protein	mafB	NMB0374	gene	polymorphic toxin MafB class 1
NGFG_02194	NGFG_02194	gene	adhesin mafA 2/3	mafA	NMB0375	gene	adhesin MafA
NGFG_02420	NGFG_02420	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_02421	NGFG_02421	gene	bacteriocin resistance protein		NMB0582	gene	C39 family peptidase
NGFG_01524	NGFG_01524	gene	electron-transfer flavoprotein dehydrogenase		NMB0581	gene	electron transfer flavoprotein-ubiquinone oxidoreductase
NGFG_01523	NGFG_01523	gene	NosL-like lipoprotein		NMB0580	gene	nitrous oxide reductase accessory protein NosL
NGFG_01522	NGFG_01522	gene	ABC transporter permease			gene	hypothetical protein
NGFG_01521	NGFG_01521	gene	ABC transporter ATP-binding protein		NMB0579	gene	ABC transporter ATP-binding protein
NGFG_01520	NGFG_01520	gene	copper ABC transporter periplasmic copper-binding protein	nosD	NMB0578	pseudogene	nitrous oxide reductase family maturation protein NosD
NGFG_01519	NGFG_01519	gene	nitrous oxidase accessory protein	nosD	NMB0578	pseudogene	nitrous oxide reductase family maturation protein NosD
NGFG_01518	NGFG_01518	pseudogene					
NGFG_01517	NGFG_01517	gene	nitrous-oxide reductase transcriptional activator NosR				
NGFG_01516	NGFG_01516	gene	FMN-binding protein		NMB0577	pseudogene	NosR
NGFG_01515	NGFG_01515	gene	glutamyl-tRNA reductase		NMB0576	gene	glutamyl-tRNA reductase
NGFG_01514	NGFG_01514	gene	glycine cleavage system H protein	gcvH	NMB0575	gene	glycine cleavage system protein GcvH
NGFG_01513	NGFG_01513	gene	hypothetical protein				
NGFG_01512	NGFG_01512	gene	aminomethyltransferase	gcvT	NMB0574	gene	glycine cleavage system aminomethyltransferase GcvT
NGFG_01511	NGFG_01511	gene	lrp/AsnC family transcriptional regulator%2C leucine-responsive regulatory protein		NMB0573	gene	Lrp/AsnC family transcriptional regulator
NGFG_01510	NGFG_01510	gene	hypothetical protein		NMB0572	gene	DUF1415 domain-containing protein
NGFG_01509	NGFG_01509	gene	hypothetical protein		NMB0571	gene	YbaN family protein
NGFG_01507	NGFG_01507	gene	citrate transporter		NMB0570	gene	sodium:proton antiporter
NGFG_02422	NGFG_02422	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_01506	NGFG_01506	gene	Na(+)-translocating NADH-quinone reductase subunit A		NMB0569	gene	Na(+)-translocating NADH-quinone reductase subunit A
NGFG_01505	NGFG_01505	gene	Na(+)-translocating NADH-quinone reductase subunit B		NMB0568	gene	NADH:ubiquinone reductase (Na(+)-transporting) subunit B
NGFG_01504	NGFG_01504	gene	Na(+)-translocating NADH-quinone reductase subunit C		NMB0567	gene	Na(+)-translocating NADH-quinone reductase subunit C
NGFG_01503	NGFG_01503	gene	Na(+)-translocating NADH-quinone reductase subunit D		NMB0566	gene	NADH:ubiquinone reductase (Na(+)-transporting) subunit D
NGFG_01502	NGFG_01502	gene	Na(+)-translocating NADH-quinone reductase subunit E	nqrE	NMB0565	gene	NADH:ubiquinone reductase (Na(+)-transporting) subunit E
NGFG_01501	NGFG_01501	gene	Na(+)-translocating NADH-quinone reductase subunit F	nqrF	NMB0564	gene	NADH:ubiquinone reductase (Na(+)-transporting) subunit F
NGFG_01500	NGFG_01500	gene	hypothetical protein				
NGFG_01499	NGFG_01499	gene	thiamine biosynthesis lipoprotein		NMB0563	gene	FAD:protein FMN transferase
NGFG_01498	NGFG_01498	gene	hypothetical protein	nqrM	NMB0562	gene	(Na+)-NQR maturation NqrM
NGFG_01497	NGFG_01497	gene	protein grpE	grpE	NMB0561	gene	nucleotide exchange factor GrpE
NGFG_01496	NGFG_01496	gene	serine O-acetyltransferase	cysE	NMB0560	gene	serine O-acetyltransferase
